soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	2392	13554	0	789.254329113924	59.2564556962025	12.1675949367089	789	59	12	155.936730865823	11.6161512911392	4.66703797468354	19750	308.773791	653.834365236	790.254329113924	60.2564556962025	13.1675949367089	748.745670886076	1478.7435443038	39.8324050632911	156.233280865823	11.9127012911392	5.26703797468354	148.027019134177	292.347598708861	15.9329620253165	1	1	0	0	Inf	0	1	1	0	0	0	962.608156236	2354.05664274	328.144460724	545.771355444	0.200278151370296	0.0325132003900343	0.282582257955544	101	18	22	0.178217821782178	0.217821782178218	3	0.00109051254089422	3199	217.658162952	1	2	2	2	5	0.000447828034034931	0.00059970160312929	0.000719424460431655	0.000844988344988345	0.00109051254089422	0	99	384	937.75	3199	0.328316436	1.453972788	3.5176761	7.203418947	217.658162952	5	95	21	4.2	38	1	2.5	19	7.6	4.61498956734782	5.69930796686023	23.0518426651527	31.8455186179782	32.9416198992425	3.45459556648375	5.05362129387061	15.1427766896087	27.4074684513191	28.9687922718367	1.08486647133587	1.12407284644696	1.17083050186375	1.38249888665739	1.52229958465751
2	39	11749	0	341.919328870435	183.819083128548	5.11905770697398	342	184	5	67.4986013176849	36.242182734514	1.84762308278959	11801	184.498202916	204.556773744	342.919328870435	184.819083128548	6.11905770697398	1196.08067112957	1354.18091687145	46.880942293026	67.7951513176849	36.538732734514	2.44762308278959	236.465148682315	267.721567265486	18.7523769172104	1	2	1	1	70.7311650760453	0	0	1	0	0	0	389.05497666	1032.55538892	221.050766124	149.22763722	0.249600097249385	0.0455995363059934	0.297206985688166	45	6	11	0.133333333333333	0.244444444444444	5	0.00440528634361234	701	186.12415098	1	1.75	2	2	5	0.00168634064080944	0.00249076354679803	0.00284900284900285	0.00345188537683334	0.00440528634361234	0	0	85	238.75	701	0.250145856	1.239003693	2.50145856	5.636098818	186.12415098	4	39	8	2	13	0	3	9.75	3.25	7.64644341537383	8.39817684083555	10.8767926528535	15.1769578232659	17.750240607122	6.68231411499488	7.87135028009145	10.3928615726377	14.0888198918331	16.4523030835787	1.0098807950026	1.04239511465734	1.07690018314794	1.11158584160036	1.14428075121693
3	1319	11192	0	1122.90120019797	255.825723830735	8.8256000989854	1123	256	9	221.898717279139	50.4778956013363	3.33024003959416	16164	252.709851024	900.118594584	1123.90120019797	256.825723830735	9.8256000989854	415.098799802029	1282.17427616927	43.1743999010146	222.195267279139	50.7744456013363	3.93024003959416	82.0650327208612	253.485854398664	17.2697599604058	1	3	0	0	Inf	0	0	1	0	0	1	1152.828445608	3458.6424846	285.432055812	753.001563024	0.15372868371745	0.0214767154386712	0.245753138075314	205	33	42	0.160975609756098	0.204878048780488	6	0.00042571306939123	14400	203.743799712	1	2	2	2	6	0.000171703296703297	0.000215447599871971	0.000257931390250193	0.000315219253670031	0.00042571306939123	0	203	800	2363.75	14400	0.109438812	1.078754004	2.141873892	4.084412805	203.743799712	5	199	40	8	71	0	2.80281690140845	39.8	14.2	7.32542939798793	8.7663096537477	26.8235556281135	44.0575728594645	44.9397265778664	6.46499920816541	7.73525726407324	20.2238264580409	32.041709591165	33.1958754731255	1.1330905329015	1.13328209316823	1.31834214330112	1.34964654942796	1.41958316130347
4	1335	7722	0	972.698886386386	370.233546046046	9.57063313313313	973	370	10	192.203719838589	73.0963220533033	3.62825325325325	15984	249.895710144	1109.568846636	973.698886386386	371.233546046046	10.5706331331331	565.301113613614	1167.76645395395	42.4293668668669	192.500269838589	73.3928720533033	4.22825325325325	111.760030161411	230.867427946697	16.9717467467467	1	4	0	0	Inf	0	0	1	0	0	0	1359.46455678	4287.61028844	294.85942776	931.16794896	0.1384142316854	0.0210357445839466	0.302571799448321	213	46	48	0.215962441314554	0.225352112676056	6	0.000615384615384615	15344.5	137.001758508	1	2	2	2	6	0.000193386192225875	0.000311599742168484	0.0003813882532418	0.000449087867699857	0.000615384615384615	0	211	627	1632	15344.5	0.109438812	1.239003693	2.782872648	6.101213769	137.001758508	10	206	46	4.6	93	7	2.21505376344086	20.6	9.3	3.78387500095113	7.27024544089642	16.1730631753261	23.370829161174	41.6148484566493	3.78387500095113	5.41750375503032	13.8544249701187	19.7533949577616	21.1717239986913	1	1.10176050083712	1.23919701503804	1.30403455684374	2.02711459547437
5	680	8139	0	59.3637517854309	723.797730518965	7.25503888271703	59	724	7	11.6373637279797	142.995961323599	2.70201555308681	12602	197.021129832	545.86516014	60.3637517854309	724.797730518965	8.25503888271703	1478.63624821457	814.202269481035	44.744961117283	11.9339137279797	143.292511323599	3.30201555308681	292.32638627202	160.967788676401	17.8979844469132	1	5	0	0	Inf	1	0	1	0	0	0	742.886289972	2256.5572896	235.715566932	449.918590248	0.175786690396189	0.0303661449273464	0.24452947845805	123	21	30	0.170731707317073	0.24390243902439	7	0.00111607142857143	4724	155.137333068	1	2	2	2	7	0.000409668168783286	0.000549684100408254	0.000673400673400673	0.000829875518672199	0.00113507377979569	0	121	357	1030.5	4724	0.171975276	0.797339916	2.141873892	4.029693399	155.137333068	6	117	29	4.83333333333333	46	0	2.54347826086957	19.5	7.66666666666667	2.34526304043332	3.45280239033915	16.108361738271	21.3980156322537	32.7403639952327	2.34526304043332	2.42623595594904	10.289724565336	18.9153693707277	25.9545764533754	1	1.1312502131398	1.22726019567137	1.42311071677634	1.86777185291124
6	345	7640	0	1138.85541542062	893.711871018073	4.48979326485503	1139	894	4	225.052865628657	176.587986900273	1.59591730594201	7691	120.241986156	58.049472708	1139.85541542062	894.711871018073	5.48979326485503	399.144584579378	644.288128981927	47.510206735145	225.349415628657	176.884536900273	2.19591730594201	78.9108843713431	127.375763099727	19.004082694058	1	6	1	1	22.6729109536408	0	0	1	0	0	0	178.291458864	403.31982246	135.438346908	35.817759756	0.379829113194211	0.225925182374112	0.509090909090909	11	1	3	0.0909090909090909	0.272727272727273	4	0.0555555555555556	37	134.234519976	1	1.25	2	2	4	0.0256410256410256	0.0294117647058824	0.0333333333333333	0.0426086956521739	0.0555555555555556	0	0	9	14.25	37	1.047485772	2.595263256	4.049236044	5.929238493	134.234519976	1	3	1	1	1	0	3	3	1	3.18795045933678	3.18795045933678	3.18795045933678	3.18795045933678	3.18795045933678	2.39335133434522	2.39335133434522	2.39335133434522	2.39335133434522	2.39335133434522	1.33200270833156	1.33200270833156	1.33200270833156	1.33200270833156	1.33200270833156
7	347	7542	0	1370.40518491661	907.6799311095	5.4433466279913	1370	908	5	270.830255058013	179.349472380348	1.97733865119652	11032	172.475567712	513.752685876	1371.40518491661	908.6799311095	6.4433466279913	167.594815083394	630.3200688905	46.5566533720087	271.126805058013	179.646022380348	2.57733865119652	33.1334949419869	124.614277619652	18.6226613488035	1	7	0	0	Inf	0	0	1	0	0	0	686.228253588	1889.92267914	210.169421388	412.005858948	0.199076112422044	0.0361300512522433	0.285215747573521	89	13	19	0.146067415730337	0.213483146067416	5	0.00109409190371991	2134	157.810766904	1	2	2	2	5	0.000517866390471258	0.000699326170096522	0.000800640512409928	0.000963672112728805	0.00119904076738609	0	87	336	851.75	2511	0.15634116	1.48524102	2.42328798	5.843250855	157.810766904	4	83	18	4.5	29	2	2.86206896551724	20.75	7.25	7.67819564546158	11.8035600827927	16.311410238979	29.9053005027381	43.1167050476418	6.25124206533628	9.05454202592037	12.9084299977224	24.9252721336939	35.8915262584474	1.14112070848549	1.17121334315672	1.21478659350097	1.31805156777261	1.40783592637124
8	362	20590	0	434.786989553656	936.212962962963	6.90574548907882	435	936	7	85.8585378347578	184.990452777778	2.56229819563153	21060	329.25448296	593.893164492	435.786989553656	937.212962962963	7.90574548907882	1103.21301044634	601.787037037037	45.0942545109212	86.1550878347578	185.287002777778	3.16229819563153	218.105212165242	118.973297222222	18.0377018043685	1	8	0	0	Inf	0	0	1	0	0	0	923.147647452	2415.62761902	467.006679036	397.73191104	0.189802348959899	0.031040174966653	0.29488608221892	111	24	32	0.216216216216216	0.288288288288288	9	0.00149253731343284	3869.5	341.13641112	1	1	2	2	9	0.000543183052688756	0.000724244141506365	0.000889679715302491	0.00112835005764224	0.00151285930408472	0	0	216	792.25	4207	0.23451174	1.32889986	2.407653864	5.178800925	341.13641112	8	103	28	3.5	47	1	2.19148936170213	12.875	5.875	3.71990651222276	5.08190497443911	13.7919999202649	18.0983573199477	25.0365423742519	3.22861671516556	4.73369393227016	8.1885698239416	12.1759225840617	19.3473475052495	1	1.09094607641494	1.16128088867952	1.54645999074536	2.87873936623452
9	409	8148	0	599.231533502868	1061.93405878526	9.18132355550299	599	1062	9	118.369224173517	209.845513421846	3.47252942220119	16909	264.357267444	1106.723437524	600.231533502868	1062.93405878526	10.181323555503	938.768466497132	476.065941214738	42.818676444497	118.665774173517	210.142063421846	4.0725294222012	185.594525826483	94.1182365781536	17.1274705777988	1	9	1	2	33.2681404258678	0	0	1	0	0	0	1371.080704968	4018.84397886	357.489696456	880.35707196	0.148510898086718	0.027625729983596	0.345265531062124	190	33	42	0.173684210526316	0.221052631578947	9	0.000516528925619835	12750.5	234.652447044	1	2	2	2	9	0.000183116645303058	0.000285551113649343	0.000351741162054812	0.00040983606557377	0.000516528925619835	0	188	558	1448	12750.5	0.109438812	1.1725587	2.556177966	5.722086456	234.652447044	8	182	41	5.125	76	5	2.39473684210526	22.75	9.5	2.3871699102137	6.96586131234804	13.9982165473784	24.6056579368232	54.8862644636805	2.3871699102137	6.61097450434763	11.6626170509062	13.3307858700123	23.4384214066567	1	1.0637837356742	1.20203366921301	1.8778960361133	2.34172188951651
10	2131	9648	0	420.002953188816	1243.06471881872	10.2183474709394	420	1243	10	82.9357338454288	245.655044910462	3.88733898837575	15915	248.81695614	758.895624756	421.002953188816	1244.06471881872	11.2183474709394	1117.99704681118	294.935281181276	41.7816525290606	83.2322838454288	245.951594910462	4.48733898837575	221.028016154571	58.3087050895382	16.7126610116243	1	10	0	0	Inf	0	0	1	0	0	0	1007.712580896	3169.6537188	254.304530856	659.306305836	0.15335458307206	0.0206395878124461	0.25240103906008	174	35	42	0.201149425287356	0.241379310344828	5	0.000565610859728507	5607.16666666667	155.747063592	1	2	2	2	6	0.000243190661478599	0.000349162011173184	0.00042373642158183	0.000505561172901921	0.000657030223390276	0	172	512	1564.33333333333	7862.16666666667	0.109438812	1.09438812	2.220044472	4.784039496	155.747063592	5	161	39	7.8	67	0	2.40298507462687	32.2	13.4	6.60563295998534	12.6666192901191	20.2230971081896	36.5449740418796	48.7827693788513	5.58617075399942	9.4547516662692	11.2495474892872	28.9766763609817	34.2632298400984	1.18249750157674	1.19034185956845	1.30555900855714	1.53837837741688	1.8822200904674
11	562	13479	0	1021.22605919907	1376.62717643645	5.98498258850842	1021	1377	6	201.797541903656	272.060342781486	2.19399303540337	13784	215.500654944	962.82703386	1022.22605919907	1377.62717643645	6.98498258850842	516.773940800929	161.372823563552	46.0150174114916	202.094091903656	272.356892781486	2.79399303540337	102.166208096344	31.9034072185142	18.4060069645966	1	11	0	0	Inf	0	0	1	0	0	1	1178.327688804	3451.99616646	347.499496332	734.787817884	0.156287607084775	0.0422833878580392	0.382088009450679	162	32	40	0.197530864197531	0.246913580246914	5	0.000791139240506329	4036	213.124269312	1	2	2	2	9	0.000282645562464669	0.000411861614497529	0.000524383993171734	0.000625	0.000860585197934596	0	0	388.5	1224	9695	0.046902348	1.25072928	2.728153242	5.00291712	213.124269312	8	153	37	4.625	65	3	2.35384615384615	19.125	8.125	2.94385862160733	7.46596120592624	10.4111151987892	25.870663353365	28.6837038058191	2.94385862160733	6.55511469425862	9.46289426813433	20.2749569520051	21.5491323134525	1	1.06471666603229	1.17977389977211	1.21845815920927	1.46144770370871
12	585	3376	0	47.4864600326264	1409.37373572594	4.33034257748777	47	1409	4	9.28922314845024	278.534337553018	1.53213703099511	6130	95.83713108	131.24840382	48.4864600326264	1410.37373572594	5.33034257748777	1490.51353996737	128.626264274062	47.6696574225122	9.58577314845024	278.830887553018	2.13213703099511	294.67452685155	25.429412446982	19.0678629690049	1	12	0	0	Inf	1	0	1	0	0	0	227.0855349	628.00852164	106.593402888	102.16894806	0.286623350438473	0.114922622811877	0.359252561784207	28	4	7	0.142857142857143	0.25	3	0.00806451612903226	236	53.640651996	1	1.5	2	2	4	0.00328947368421053	0.00465206854768911	0.00564989785495403	0.00662280701754386	0.00806451612903226	0	13	72	137.5	236	0.406487016	1.344533976	2.595263256	4.307198958	53.640651996	3	22	5	1.66666666666667	6	0	3.66666666666667	7.33333333333333	2	3.69787018942029	5.18938055159888	9.66391163813463	12.9819399831354	14.0879494314689	3.63073697415622	4.65156436821693	7.71404655039906	10.8679161359675	11.9192059978236	1.01849024474698	1.05935610439216	1.18195368332767	1.23506451507081	1.25276812565186
13	1059	7925	0	791.796112229492	1415.29397332662	7.16576497232008	792	1415	7	156.43924138777	279.704768526673	2.66630598892803	15896	248.519907936	422.293107276	792.796112229492	1416.29397332662	8.16576497232008	746.203887770508	122.706026673377	44.8342350276799	156.73579138777	280.001318526673	3.26630598892803	147.524508612229	24.2589814733266	17.933694011072	1	13	0	0	Inf	0	0	1	0	1	0	670.813015212	1786.34658156	284.134424184	329.285751192	0.20745284165409	0.042109679658053	0.283184382850789	81	16	19	0.197530864197531	0.234567901234568	5	0.00149253731343284	1242	130.372893324	1	2	2	2	5	0.000683060109289617	0.00103493403130175	0.00121212121212121	0.00144144200340166	0.00191204588910134	0	79	231	576	2208	0.281414088	1.070936946	2.939213808	6.503792256	130.372893324	4	72	16	4	27	1	2.66666666666667	18	6.75	6.50758186267977	8.84793053252227	11.2844107175402	23.8035420847735	36.2265419368314	5.55514892110671	7.45038564213342	9.98428047695894	17.8439169705001	25.0648953502424	1.07131770888868	1.12138409377629	1.18430919487826	1.32123891641134	1.44530992173007
