soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	84	2646	0	664.005685407454	70.9490419035586	2.60496946725626	664	71	3	131.175074005054	13.9277755843335	0.841987786902506	4749	74.246416884	332.475110856	665.005685407454	71.9490419035586	3.60496946725626	873.994314592546	1467.05095809644	49.3950305327437	131.471624005054	14.2243255843335	1.44198778690251	172.788675994946	290.035974415666	19.7580122130975	1	1	0	0	Inf	0	1	1	0	0	0	406.72152774	1310.049165	117.162065304	250.489806552	0.20264130328835	0.0403300640531476	0.301941451514535	67	15	20	0.223880597014925	0.298507462686567	4	0.0028328611898017	1184	51.04538874	1	1	2	2	4	0.00110497237569061	0.00151516198186872	0.00181488203266788	0.0021739437315603	0.0029585798816568	0	0	128	360	1391	0.15634116	1.235095164	2.57962914	6.976724265	51.04538874	5	61	18	3.6	26	0	2.34615384615385	12.2	5.2	7.682799143694	9.17882529854332	10.9198205154508	14.180799038962	15.2278643771937	7.30199708909833	8.49145453407912	8.9540474624947	11.8650323644386	12.9328829624591	1.05215039802799	1.07966386246083	1.17745319596538	1.2062456184397	1.21954016451108
2	105	18634	0	42.3392582923833	134.22339527027	7.29787315724816	42	134	7	8.27162136440418	26.4371152449324	2.71914926289926	26048	407.237453568	658.446429456	43.3392582923833	135.22339527027	8.29787315724816	1495.66074170762	1403.77660472973	44.7021268427518	8.56817136440418	26.7336652449324	3.31914926289926	295.692128635596	277.526634755068	17.8808507371007	1	2	1	1	36.2640346040069	1	0	1	0	0	1	1065.683883024	2736.36921906	542.316215808	459.689912748	0.184386176971807	0.0462072328726124	0.397826086956522	112	25	33	0.223214285714286	0.294642857142857	12	0.00127713920817369	4734	392.197433976	1	1	2	2	12	0.000469704086425552	0.000634318119086839	0.000776401727614403	0.000986194253035659	0.00127713920817369	0	0	244	895.5	4734	0.422121132	0.992766366	2.368568574	4.698051858	392.197433976	7	102	27	3.85714285714286	47	2	2.17021276595745	14.5714285714286	6.71428571428571	2.40191561276763	4.07626194062749	11.0421051386221	28.3756467075014	33.5786379182126	2.38279148182973	2.9408796515899	8.15505718591368	14.5042784213006	24.7793656307651	1	1.14340873089048	1.35401933878468	1.74297235115812	2.98982830264176
3	776	13229	0	654.621096982921	269.679783312016	7.7978331201565	655	270	8	129.319740873523	53.2168431607855	2.9191332480626	13291	207.793035756	970.753530672	655.621096982921	270.679783312016	8.7978331201565	883.378903017079	1268.32021668798	44.2021668798435	129.616290873523	53.5133931607855	3.5191332480626	174.644009126477	250.746906839214	17.6808667519374	1	3	1	1	66.8664000900789	0	0	1	0	0	1	1178.546566428	3539.47948404	274.644515772	804.234561156	0.152443609430834	0.0390555965908193	0.290839097235442	180	39	46	0.216666666666667	0.255555555555556	5	0.000552181115405853	9791	231.494355612	1	1	2	2	5	0.000174947515745276	0.000293083865020277	0.000340953542318984	0.000414765942813221	0.000554631170271769	0	0	529	2081	10785	0.093804696	1.203826932	2.728153242	5.182709454	231.494355612	6	173	43	7.16666666666667	81	4	2.1358024691358	28.8333333333333	13.5	14.7333477734622	15.5975792720032	22.0076380688138	31.2097525325288	54.5975359913151	8.12606385678411	10.6465056104729	16.2758605162257	20.0278835857819	35.831256688004	1.22767851002833	1.46504213144452	1.49817991536505	1.55831505604941	1.81309771042003
4	293	2995	0	94.3227373962341	381.333265843288	3.02591617736384	94	381	3	18.5487551832355	75.2907366572181	1.01036647094554	4939	77.216898924	296.219595852	95.3227373962341	382.333265843288	4.02591617736384	1443.67726260377	1156.66673415671	48.9740838226362	18.8453051832355	75.5872866572181	1.61036647094554	285.414994816765	228.673013342782	19.5896335290545	1	4	0	0	Inf	1	0	1	0	0	0	373.436494776	1346.18409882	98.166614364	245.346182388	0.186290556511976	0.0431258768034541	0.304784839283845	69	16	21	0.231884057971014	0.304347826086957	3	0.00171821305841924	380	53.23416498	1	1	2	2	4	0.00108342361863489	0.00139668055587886	0.00166389351081531	0.00193615769787645	0.00267379679144385	0	0	195	391.75	1604	0.265779972	1.043577243	2.65779972	5.084996229	53.23416498	5	64	21	4.2	35	1	1.82857142857143	12.8	7	2.36344094324077	3.33695279460002	13.8318586503075	25.7081441702676	26.649360202492	2.36344094324077	3.13140773075093	9.97273864932896	21.0812866955619	21.4003757843805	1	1.06067936072591	1.21070311850893	1.28069823505006	1.38696692419973
5	2975	8806	0	149.212281963676	612.442546304621	10.4431756878259	149	612	10	29.4004181442187	120.981041404424	3.97727027513037	22244	347.765276304	1165.101226668	150.212281963676	613.442546304621	11.4431756878259	1388.78771803632	925.557453695379	41.5568243121741	29.6969681442187	121.277591404424	4.57727027513037	274.563331855781	182.982708595576	16.6227297248696	1	5	1	2	97.7409010484754	1	0	1	0	0	1	1512.866502972	4870.40102424	380.284237584	991.609441416	0.130853840585698	0.0180839640491717	0.257452613032482	256	53	64	0.20703125	0.25	7	0.000348553502962705	23511	171.318643128	1	1.5	2	2	7	0.000107077845593747	0.000186532363365044	0.000220119248136993	0.000253840239738076	0.000348553502962705	0	0	758	2459	23511	0.171975276	1.125656352	2.524909734	5.174892396	171.318643128	6	247	61	10.1666666666667	114	4	2.16666666666667	41.1666666666667	19	12.8171280119022	24.5201250658269	26.2251774305202	28.9456945925609	73.8962758985962	9.93428648269078	15.9689785289037	22.3326154189004	24.6318271519493	44.9631597547035	1.092352979328	1.11182939862688	1.20834145947738	1.64348493970925	1.81262029629319
6	1713	9290	0	1311.39127279764	685.544337477626	7.93382032799574	1311	686	8	259.163204632093	135.433265519327	2.9735281311983	20671	323.172811836	964.374811344	1312.39127279764	686.544337477626	8.93382032799574	226.608727202361	852.455662522374	44.0661796720043	259.459754632093	135.729815519327	3.5735281311983	44.8005453679067	168.530484480673	17.6264718688017	1	6	1	1	62.6091679930708	0	0	1	0	0	0	1287.54762318	3580.79569992	415.00760922	751.703931395999	0.159838028986615	0.0274586079632136	0.274298567538771	168	29	36	0.172619047619048	0.214285714285714	7	0.000562429696287964	9579	153.589555584	1	2	2	2	7	0.000197784810126582	0.000296927191477837	0.000353485373277555	0.000428102275392916	0.000562429696287964	0	148.5	652	2280	9579	0.171975276	1.219461048	2.939213808	6.511609314	153.589555584	6	156	33	5.5	61	1	2.55737704918033	26	10.1666666666667	4.3875029366877	12.8004491154818	22.3284742895784	37.7491989484049	54.7632968441519	4.30437087094468	11.228172775666	16.3657030407594	17.5371389165847	22.1401488420784	1.01931340682193	1.14002958194795	1.35269798578607	2.15252893462033	2.47348368047426
7	366	20063	0	329.835898925356	689.689079291316	6.6268757866202	330	690	7	65.1097072175428	136.252680975893	2.45075031464808	20658	322.969568328	639.763660836	330.835898925356	690.689079291316	7.6268757866202	1208.16410107464	848.310920708684	45.3731242133798	65.4062572175428	136.549230975893	3.05075031464808	238.854042782457	167.711069024107	18.1492496853519	1	7	0	0	Inf	0	0	1	0	0	0	962.733229164	2923.14392166	345.82664592	544.520626164	0.161301312280156	0.0225438209887631	0.309752710569887	159	36	37	0.226415094339623	0.232704402515723	8	0.000682128240109141	2503.33333333333	334.241765964	1	2	2	2	8	0.000306842589751458	0.000399720207840125	0.000484027105517909	0.000597020650308561	0.000817661488143908	0	0.5	465	1480	8207	0.171975276	1.031851656	2.329483284	4.545619227	334.241765964	3	147	35	11.6666666666667	73	6	2.01369863013699	49	24.3333333333333	2.18715624957358	2.90515197330102	5.05913914448332	31.5172502750145	40.3366206518582	2.18715624957358	2.81480185404443	4.69773866745696	21.8026629550279	27.5043043842183	1	1.01923268313806	1.07693073255222	1.36915017482536	1.46655665558308
8	383	6259	0	1509.24042767066	779.098693228548	5.04742757927442	1509	779	5	298.277982550489	153.928961651284	1.81897103170977	10943	171.084131388	175.586756796	1510.24042767066	780.098693228548	6.04742757927442	28.759572329343	758.901306771452	46.9525724207256	298.574532550489	154.225511651284	2.41897103170977	5.68576744951111	150.034788348716	18.7810289682902	1	8	1	1	40.2733854654141	0	0	1	1	0	0	346.670888184	889.51366608	204.744383136	118.27208754	0.268293251298462	0.222413588323343	0.613801893663511	38	6	12	0.157894736842105	0.315789473684211	7	0.00549450549450549	452	127.668191256	1	1	2	2	7	0.00213675213675214	0.00328947368421053	0.00400025601638505	0.00458715596330275	0.00549450549450549	0	0	70	210	452	0.140707044	1.40707044	2.69688501	5.096721816	127.668191256	2	28	6	3	11	0	2.54545454545455	14	5.5	9.55647755363504	9.55647755363504	16.1629616178512	22.7694456820673	22.7694456820673	6.69448767808522	6.69448767808522	9.26321467630411	11.831941674523	11.831941674523	1.42751439888652	1.42751439888652	1.67595961340104	1.92440482791556	1.92440482791556
9	405	6752	0	27.1295065200716	899.037586295065	4.93224239324981	27	899	5	5.26465343901815	177.640880810534	1.77289695729992	7822	122.290055352	456.969576564	28.1295065200716	900.037586295065	5.93224239324981	1510.87049347993	638.962413704935	47.0677576067502	5.56120343901815	177.937430810534	2.37289695729992	298.699096560982	126.322869189466	18.8271030427001	1	5	1	2	97.7409010484754	1	0	1	0	0	0	579.259631916	1715.5182237	167.066163576	371.77927848	0.195886405901665	0.032925880384512	0.260039644666324	79	15	17	0.189873417721519	0.215189873417722	2	0.00103734439834025	225	117.115162956	1	2	2	2	5	0.000701262272089762	0.000899685656879901	0.00105596620908131	0.00128464881371858	0.00174216027874564	0	48.125	365	737	2251	0.171975276	0.969315192	2.11060566	4.315016016	140.910287508	2	76	17	8.5	34	2	2.23529411764706	38	17	3.04857888083486	3.04857888083486	26.2365478494318	49.4245168180288	49.4245168180288	3.04857888083486	3.04857888083486	13.5519686564117	24.0553584319884	24.0553584319884	1	1	1.52730784406656	2.05461568813312	2.05461568813312
10	2687	22447	0	581.449464278807	960.701504660968	10.1367346149383	581	961	10	114.85370908792	189.831837471473	3.85469384597532	25853	404.188800948	1364.15479158	582.449464278807	961.701504660968	11.1367346149383	956.550535721193	577.298495339032	41.8632653850617	115.15025908792	190.128387471473	4.45469384597532	189.11004091208	114.131912528527	16.7453061540247	1	6	2	2	72.7646542252162	0	0	1	0	0	0	1768.343592528	5128.2737475	503.871924564	1104.409588356	0.137897807159037	0.0216690190702355	0.285003479986376	270	57	68	0.211111111111111	0.251851851851852	5	0.000359066427289048	26529	368.621187048	1	1	2	2	7	0.000108920596884871	0.0001743679163034	0.000217016842588613	0.000256081946222791	0.000359066427289048	0	0	798	2838	26529	0.015634116	1.438338672	2.470190328	5.049819468	368.621187048	6	264	66	11	120	5	2.2	44	20	9.98031977634623	11.7917765086379	25.3875230066357	41.4322676144031	53.6119080310551	7.15205598093547	8.45290393789945	17.3096656741271	28.4020190922924	38.4152084084336	1.18069717219883	1.27979311282956	1.42718483113807	1.64872542106355	1.71018273909859
