soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	10	9747	0	1011.89896399631	35.3945020002052	7.11272951071905	1012	35	7	199.95357518207	6.89864304544056	2.64509180428762	9749	152.416996884	154.93408956	1012.89896399631	36.3945020002052	8.11272951071905	526.101036003693	1502.60549799979	44.887270489281	200.25012518207	7.19519304544056	3.24509180428762	104.01017481793	297.065106954559	17.9549081957124	1	1	0	0	Inf	0	1	1	0	0	0	307.351086444	749.47524348	209.02813092	84.768176952	0.293866446232954	0.169182529508518	0.544301075268817	27	4	9	0.148148148148148	0.333333333333333	6	0.0102040816326531	179	209.02813092	1	1	2	2	6	0.00425531914893617	0.00571950724245296	0.00746268656716418	0.00844277673545966	0.010989010989011	0	0	48	100.75	224	0.343950552	1.035760185	1.969898616	5.765080275	209.02813092	2	22	5	2.5	7	0	3.14285714285714	11	3.5	7.15827104218931	7.15827104218931	9.50675752090653	11.8552439996237	11.8552439996237	6.80261968219467	6.80261968219467	7.92429408316711	9.04596848413955	9.04596848413955	1.05228152926519	1.05228152926519	1.18141852844582	1.31055552762645	1.31055552762645
2	23	1512	0	728.950840074673	72.2607342874922	3.17548226509023	729	72	3	144.014731082763	14.1870971686372	1.07019290603609	3214	50.248048824	154.293090804	729.950840074673	73.2607342874922	4.17548226509023	809.049159925327	1465.73926571251	48.8245177349098	144.311281082763	14.4836471686372	1.67019290603609	159.949018917237	289.776652831363	19.5298070939639	1	2	0	0	Inf	0	0	1	0	0	0	204.541139628	537.10851312	128.105946504	58.033838592	0.312566576563974	0.273161207256158	0.75714877745545	22	2	3	0.0909090909090909	0.136363636363636	2	0.00819672131147541	6.5	51.295534596	1	2	2	2	4	0.00471698113207547	0.00632911392405063	0.00775240384615385	0.00909090909090909	0.00980392156862745	0	20	61	101.5	111.5	0.343950552	0.922412844	2.03243508	4.784039496	65.147361372	2	18	2	1	2	0	9	9	1	4.44744635307349	4.44744635307349	9.73249267832268	15.0175390035719	15.0175390035719	4.22327280416406	4.22327280416406	8.63249904498627	13.0417252858085	13.0417252858085	1.05308052766291	1.05308052766291	1.10228997004223	1.15149941242156	1.15149941242156
3	45	5021	0	548.472211648268	114.616482679863	4.72401979444233	548	115	5	108.334106242863	22.5608286258089	1.68960791777693	5254	82.141645464	110.736443628	549.472211648268	115.616482679863	5.72401979444233	989.527788351732	1423.38351732014	47.2759802055577	108.630656242863	22.8573786258089	2.28960791777693	195.629643757137	281.402921374191	18.9103920822231	1	3	0	0	Inf	0	0	1	0	0	0	192.878089092	471.03400992	111.361808268	62.911682784	0.342731316198398	0.184420697784835	0.406410256410256	22	1	4	0.0454545454545455	0.181818181818182	4	0.00632911392405063	73	100.855682316	1	2	2	2	4	0.00442477876106195	0.00561797752808989	0.00684931506849315	0.00819672131147541	0.00862068965517241	0	20	80	104	110	0.406487016	1.078754004	2.008983906	4.627698336	100.855682316	1	17	1	1	1	0	17	17	1	21.9639927298404	21.9639927298404	21.9639927298404	21.9639927298404	21.9639927298404	20.4059452078675	20.4059452078675	20.4059452078675	20.4059452078675	20.4059452078675	1.07635262694777	1.07635262694777	1.07635262694777	1.07635262694777	1.07635262694777
4	2473	7145	0	618.952467848453	199.358880778589	9.07811956899548	619	199	9	122.268052893639	39.314400729927	3.43124782759819	11508	179.917406928	326.065123296	619.952467848453	200.358880778589	10.0781195689955	919.047532151547	1338.64111922141	42.9218804310045	122.564602893639	39.610950729927	4.03124782759819	181.695697106361	264.649349270073	17.1687521724018	1	4	0	0	Inf	0	0	1	0	0	1	505.982530224	1128.3023688	211.857905916	250.396001856	0.272154575128944	0.100293871140538	0.394990176817289	32	5	9	0.15625	0.28125	3	0.00735294117647059	286	151.854168708	1	1	2	2	5	0.003125	0.00429255711127487	0.00518259935553169	0.00606082868057596	0.00746268656716418	0	0	58.5	130	287	0.594096408	2.134056834	6.871193982	13.359352122	151.854168708	3	28	9	3	12	0	2.33333333333333	9.33333333333333	4	10.6654498848361	11.2482539383131	12.9966660987442	18.880502848626	20.8417817652533	9.51850306151393	9.79085536327949	10.6079122685762	16.5143525159416	18.4831659317301	1.00542402829163	1.03597023756839	1.12760886539866	1.30596025478956	1.36541071791986
5	1334	6935	0	1160.41577843055	217.630297943768	6.51212757028955	1160	218	7	229.31534939572	42.926659903483	2.40485102811582	11915	186.28049214	313.995585744	1161.41577843055	218.630297943768	7.51212757028955	377.58422156945	1320.36970205623	45.4878724297104	229.61189939572	43.223209903483	3.00485102811582	74.6484006042803	261.037090096517	18.1951489718842	1	5	1	1	21.6439231236831	0	0	1	0	0	0	500.276077884	1670.03520354	205.057065456	254.91426138	0.182486884217173	0.0267264698360849	0.319416006409686	108	23	31	0.212962962962963	0.287037037037037	6	0.00127388535031847	2825	120.961155492	1	1	2	2	6	0.000533333333333333	0.000674308833445718	0.000845310953672244	0.00100806554051926	0.00134228187919463	0	0	210.5	798.5	3829.5	0.062536464	0.734803452	1.477423962	3.55676139	120.961155492	7	98	29	4.14285714285714	47	1	2.08510638297872	14	6.71428571428571	2.31459851249848	3.11167034059155	7.66224590506383	20.9993531055487	34.8343087188831	2.31459851249848	2.81498310810895	3.43694512352738	16.0294750425364	26.8661279552977	1	1.09767608321639	1.25613195672913	1.67983792023541	2.22937685347736
6	2475	10709	0	967.693333333333	212.33216374269	10.3539961013645	968	212	10	191.214122	41.8792187719298	3.94159844054581	12825	200.5075377	817.554827988	968.693333333333	213.33216374269	11.3539961013645	570.306666666667	1325.66783625731	41.6460038986355	191.510672	42.1757687719298	4.54159844054581	112.749628	262.08453122807	16.6584015594542	1	6	1	5	18.708968042103	0	0	1	0	0	0	1018.062365688	3213.03075948	308.07025578	618.17294664	0.15231832788866	0.0440070321945577	0.38888689084697	161	38	41	0.236024844720497	0.254658385093168	10	0.000970873786407767	8047	216.45433602	1	1	2	2	10	0.000375516334960571	0.000505567350429961	0.000582072176949942	0.000695541922528901	0.000970873786407767	0	0	316	931.625	8047	0.15634116	0.922412844	2.063703312	4.811399199	216.45433602	9	151	39	4.33333333333333	74	3	2.04054054054054	16.7777777777778	8.22222222222222	5.66859935796436	13.4625476454123	14.9886118100662	18.8077746473743	24.0020641702589	4.01502332144756	5.73593692437012	11.0556991823525	13.4416606124105	17.4128084752454	1.05722785373813	1.26123535419988	1.38609656788025	1.80542318271758	3.71115703351749
7	138	1892	0	529.167864476386	319.996919917864	2.80852156057495	529	320	3	104.517636806982	63.1645410677618	0.923408624229979	1948	30.455257968	237.01319856	530.167864476386	320.996919917864	3.80852156057495	1008.83213552361	1218.00308008214	49.1914784394251	104.814186806982	63.4610910677618	1.52340862422998	199.446113193018	240.799208932238	19.67659137577	1	7	0	0	Inf	0	0	1	0	0	0	267.468456528	1022.36237232	60.644735964	180.65221038	0.196363598292432	0.0501837472965304	0.291162854971326	69	11	14	0.159420289855072	0.202898550724638	3	0.00224719101123596	939	36.03663738	1	2	2	2	4	0.000914076782449726	0.00124843945068664	0.00152671755725191	0.00181244307757289	0.00242718446601942	0	67	195	480	1489	0.187609392	0.672266988	1.672850412	3.232353483	36.03663738	4	67	14	3.5	21	0	3.19047619047619	16.75	5.25	11.3153470306299	11.4250225395207	15.3395118967142	20.0940633407727	21.0438009365284	9.35148993029957	9.8403215049787	12.2009017046756	14.7686440889348	15.4646378481761	1.09547674851622	1.16446887038141	1.29692666729592	1.36058070856449	1.36076907478375
8	3017	15039	0	760.758956155919	335.63498323802	10.2149477420627	761	336	10	150.303195632025	66.2561861861566	3.88597909682508	15213	237.841806708	316.575214884	761.758956155919	336.63498323802	11.2149477420627	777.241043844081	1202.36501676198	41.7850522579373	150.599745632025	66.5527361861566	4.48597909682508	153.660554367975	237.707563813843	16.7140209031749	1	8	0	0	Inf	0	0	1	0	0	0	554.417021592	1539.064845	317.13804306	200.523171816	0.21205649387558	0.0413056211649192	0.322289333255146	80	13	23	0.1625	0.2875	13	0.00338983050847458	2520	269.156941056	1	1	2	2	13	0.00100806451612903	0.00165202444614209	0.00203687110049117	0.0025002500250025	0.00338983050847458	0	0	82.0833333333333	300	2520	0.171975276	0.62536464	1.665033354	4.635515394	269.156941056	11	66	17	1.54545454545455	23	1	2.8695652173913	6	2.09090909090909	2.23755490643717	3.9692895879979	5.09558653972755	8.68244966704339	16.6342693362102	2.23755490643717	3.77167158093638	4.6029340282892	6.91053111475494	15.1653589511167	1	1.02028720143833	1.06754950201978	1.17064626921336	1.59950434095024
9	1129	7908	0	976.58814803827	406.489282800564	6.94949195282949	977	406	7	192.972626867166	80.2640812096714	2.5797967811318	13483	210.794786028	309.070839204	977.58814803827	407.489282800564	7.94949195282949	561.41185196173	1131.51071719944	45.0505080471705	193.269176867166	80.5606312096714	3.1797967811318	110.991123132834	223.699668790329	18.0202032188682	1	9	1	1	44.4352049409713	0	0	1	0	0	0	519.865625232	1492.77643458	249.770637216	227.210607828	0.209451474369672	0.0467899981196925	0.338473029931174	76	13	23	0.171052631578947	0.302631578947368	9	0.00307692307692308	2326	153.480116772	1	1	2	2	9	0.00108342361863489	0.00149482174976818	0.00183165543407886	0.00217392331721795	0.00307692307692308	0	0	146	285.25	2326	0.140707044	0.867693438	2.126239776	4.18212603	153.480116772	7	68	19	2.71428571428571	29	2	2.3448275862069	9.71428571428571	4.14285714285714	3.26690605694108	6.57999813643998	10.5580048815049	16.3721602935624	17.9848691225962	3.16694904865498	5.63098092221652	9.13360591715042	11.634199731167	14.5172696801633	1.03156255650168	1.06948546474974	1.08573484751147	1.37795854234567	1.81935694915821
10	953	8464	0	873.905167219042	535.377523350407	7.29572160289244	874	535	7	172.672201559205	105.745286366375	2.71828864115697	13276	207.558524016	345.545231832	874.905167219042	536.377523350407	8.29572160289244	664.094832780958	1002.62247664959	44.7042783971076	172.968751559205	106.041836366375	3.31828864115698	131.291548440795	198.218463633625	17.881711358843	1	10	0	0	Inf	0	0	1	0	0	0	553.103755848	1330.98812556	256.71218472	252.17829108	0.244820444398302	0.0602259446333853	0.340523975483716	42	6	12	0.142857142857143	0.285714285714286	6	0.00416666666666667	513	162.031978224	1	1	2	2	6	0.00180505415162455	0.00246305418719212	0.00309600490759911	0.00357142857142857	0.00416666666666667	0	0	96	264	513	0.453389364	2.173142124	4.830941844	11.459807028	162.031978224	3	34	8	2.66666666666667	12	0	2.83333333333333	11.3333333333333	4	2.41522269429969	8.04625319492631	24.9393446968061	25.2458044184616	25.3479576590134	2.41522269429969	6.12872670688728	17.26923874465	17.6420778109118	17.7663574996657	1	1.10093497214152	1.4037398885661	1.45179231306801	1.46780978790198
