soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	101	2246	0	646.884971353019	287.94006170119	3.01630674305862	647	288	3	127.790308836492	56.8269001983253	1.00652269722345	2269	35.473809204	121.054960188	647.884971353019	288.94006170119	4.01630674305862	891.115028646981	1250.05993829881	48.9836932569414	128.086858836492	57.1234501983253	1.60652269722345	176.173441163508	247.136849801675	19.5934773027766	1	1	1	1	32.0576736665786	0	0	1	0	0	0	156.528769392	541.70776638	54.87574716	86.190881508	0.259287656828758	0.105079981464272	0.440071877807727	31	6	6	0.193548387096774	0.193548387096774	4	0.0065359477124183	243	54.87574716	1	2	2	2	4	0.00284900284900285	0.00404858299595142	0.0048780487804878	0.00566585801838611	0.00671140939597315	0	7.25	81	158	251	0.187609392	1.039668714	1.610313948	5.565745296	54.87574716	2	28	6	3	9	0	3.11111111111111	14	4.5	13.7998092318689	13.7998092318689	14.6629783341518	15.5261474364346	15.5261474364346	10.9075139300738	10.9075139300738	11.976497579198	13.0454812283221	13.0454812283221	1.19015520889539	1.19015520889539	1.22766030479248	1.26516540068957	1.26516540068957
2	169	3654	0	1019.57890237647	378.504017780817	4.04342622670542	1020	379	4	201.471898999829	74.7313943152676	1.41737049068217	5849	91.443944484	744.684213312	1020.57890237647	379.504017780817	5.04342622670542	518.421097623525	1159.49598221918	47.9565737732946	201.768448999829	75.0279443152676	2.01737049068217	102.491851000171	229.232355684732	19.1826295093178	1	2	1	1	58.2956712306191	0	0	1	0	0	1	836.128157796	1900.19469666	230.728283928	561.42110556	0.225874873456672	0.120343854905076	0.503664740881262	35	6	12	0.171428571428571	0.342857142857143	3	0.00684931506849315	233	157.529352816	1	1	2	2	7	0.00307692307692308	0.0044433334693711	0.00552486187845304	0.0065359477124183	0.00833333333333333	0	0	33	120	400	0.171975276	1.078754004	2.89231146	8.91144612	275.926513284	2	30	11	5.5	16	0	1.875	15	8	7.94036238371051	7.94036238371051	14.4634451247921	20.9865278658737	20.9865278658737	4.09083577513984	4.09083577513984	9.97596563160771	15.8610954880756	15.8610954880756	1.32314491654447	1.32314491654447	1.63207858711324	1.94101225768201	1.94101225768201
3	329	6466	0	399.350800362428	607.191935971006	4.51857444880701	399	607	5	78.8528032316521	119.942995741468	1.6074297795228	6622	103.529116152	204.150286728	400.350800362428	608.191935971006	5.51857444880701	1138.64919963757	930.808064028994	47.481425551193	79.1493532316521	120.239545741468	2.2074297795228	225.110946768348	184.020754258532	18.9925702204772	1	3	0	0	Inf	0	0	1	0	0	0	307.67940288	851.53691952	131.967573156	153.198702684	0.258828994425641	0.0913885315680212	0.452904741563434	34	8	14	0.235294117647059	0.411764705882353	9	0.0101010101010101	417	127.074094848	1	1	2	2	9	0.00389105058365759	0.0050251256281407	0.0062111801242236	0.00763358778625954	0.0101010101010101	0	0	32	92	417	0.359584668	1.188192816	2.368568574	6.33181698	127.074094848	3	25	8	2.66666666666667	15	1	1.66666666666667	8.33333333333333	5	4.39390383607606	6.06594224691213	11.0820574794203	11.7925407393314	12.0293684926351	3.27712451170767	4.88374656854082	9.70361273904026	9.90387534606001	9.97062954839993	1.14205479726476	1.15816118207268	1.20648033649646	1.30720527482529	1.34078025426823
4	355	13839	0	1400.24409448819	636.356618884178	8.98337707786527	1400	636	9	276.729407480315	125.708853553402	3.39335083114611	14859	232.307329644	965.578638276	1401.24409448819	637.356618884178	9.98337707786527	137.755905511811	901.643381115822	43.0166229221347	277.025957480315	126.005403553402	3.99335083114611	27.234342519685	178.254896446598	17.2066491688539	1	4	0	0	Inf	0	0	1	0	0	1	1197.88596792	3289.30954818	338.681854908	761.115669228	0.165827427622596	0.0487444205932047	0.393543114017164	153	27	42	0.176470588235294	0.274509803921569	10	0.000862068965517241	6636.66666666667	307.038404124	1	1	2	2	10	0.000299850074962519	0.000497643681207264	0.000601684717208183	0.000692760900718839	0.000862068965517241	0	0	300	946.625	6636.66666666667	0.093804696	1.043577243	2.141873892	4.842667431	307.038404124	6	145	38	6.33333333333333	65	3	2.23076923076923	24.1666666666667	10.8333333333333	5.63490827366703	5.67411244854476	10.2691445613152	37.6610657481102	43.7789904140231	3.64693689968621	4.55328286024401	9.55595513714006	24.3984431387324	30.2804581786957	1.07021485976051	1.08339992344866	1.34597109352668	1.54358479079853	1.54510714845433
5	347	17473	0	1218.99954402964	665.690339127957	8.66235394699344	1219	666	9	240.897359854659	131.508130045597	3.26494157879738	17545	274.30056522	454.843336788	1219.99954402964	666.690339127957	9.66235394699344	319.000455970362	872.309660872043	43.3376460530066	241.193909854659	131.804680045597	3.86494157879738	63.0663901453405	172.455619954403	17.3350584212026	1	5	2	3	31.7678407812131	0	0	1	0	0	0	729.143902008	1665.75068868	444.931307244	241.218775764	0.235188611616587	0.0708975655650266	0.485896414342629	54	8	18	0.148148148148148	0.333333333333333	16	0.00625	1199	443.758748544	1	1	2	2	16	0.0018450184501845	0.00289017341040462	0.00380233634050428	0.00471698113207547	0.00625	0	0	52	152	1199	0.15634116	1.5634116	2.704702068	5.581379412	443.758748544	6	42	8	1.33333333333333	15	1	2.8	7	2.5	3.55146308512295	3.85399345644558	5.71814335562638	9.12243138222646	12.676287463002	3.36515824633668	3.74431331803969	4.85184004812759	7.72892769502253	8.94885538199078	1.02929245741201	1.05536287602198	1.14300269740839	1.27198562689503	1.41652612785681
6	418	2143	0	315.018648018648	752.067132867133	2.65874125874126	315	752	3	62.1803367132867	148.584822167832	0.863496503496504	2145	33.53517882	128.387360592	316.018648018648	753.067132867133	3.65874125874126	1222.98135198135	785.932867132867	49.3412587412587	62.4768867132867	148.881372167832	1.4634965034965	241.783413286713	155.378927832168	19.7365034965035	1	6	0	0	Inf	0	0	1	0	0	0	161.922539412	516.76739736	35.239297464	116.8650171	0.278010088225087	0.111034011040803	0.365614660218885	22	4	7	0.181818181818182	0.318181818181818	1	0.00854700854700855	0	35.239297464	1	1	2	2	5	0.00636942675159236	0.00763358778625954	0.00926640926640927	0.0105263157894737	0.0120481927710843	0	0	31	99	129	0.23451174	0.687901104	3.486407868	5.753354688	37.318634892	1	21	1	1	10	1	2.1	21	10	25.8966607022021	25.8966607022021	25.8966607022021	25.8966607022021	25.8966607022021	22.1099230275502	22.1099230275502	22.1099230275502	22.1099230275502	22.1099230275502	1.17126869550534	1.17126869550534	1.17126869550534	1.17126869550534	1.17126869550534
7	2542	38995	1	593.2076679946	851.931106574919	18.3859842623383	593	852	18	117.178305962533	168.327929769861	7.1543937049353	60746	949.710010536	676.64454048	594.2076679946	852.931106574919	19.3859842623383	944.7923320054	686.068893425081	33.6140157376617	117.474855962533	168.624479769861	7.75439370493531	186.785444037467	135.635820230139	13.4456062950647	2	7	2	5	26.2911557351343	0	0	1	0	0	1	1626.354551016	3587.33245272	1134.036238176	389.258220168	0.186432941130985	0.0801656834778665	0.536079996154031	123	20	38	0.16260162601626	0.308943089430894	29	0.00267379679144385	6671.83333333333	863.222080824	1	1	2	2	29	0.000656598818122127	0.00120701251608375	0.00162866449511401	0.00185903983656793	0.00267379679144385	0	0	121	354.375	6671.83333333333	0.140707044	1.203826932	2.251312704	4.741045677	863.222080824	15	82	24	1.6	30	0	2.73333333333333	5.46666666666667	2	2.33930631142432	4.63479975095165	5.54435328463462	8.2161448503623	17.234062454106	2.09237138969437	3.76558648090395	4.74638217840521	7.23632428888957	14.9446683713526	1.00580727487289	1.04753372317548	1.12975160982212	1.16630109109846	2.33203140386467
8	493	13523	0	685.918337617823	874.013710368466	6.20599828620394	686	874	6	135.507205347044	172.693660539846	2.28239931448158	23340	364.90026744	582.730405668	686.918337617823	875.013710368466	7.20599828620394	852.081662382177	663.986289631534	45.7940017137961	135.803755347044	172.990210539846	2.88239931448158	168.456544652956	131.270089460154	18.3176006855184	1	7	6	10	21.8100371367014	0	0	1	0	0	0	947.630673108	2035.3857525	434.425181292	439.881487776	0.229225784320468	0.0915237362946071	0.389092017062767	72	20	13	0.277777777777778	0.180555555555556	3	0.00173611111111111	854	224.177589324	1	2	2	3	5	0.000792393026941363	0.00114684328754728	0.00138325552919568	0.00171821305841924	0.00216450216450216	0	17.5	268	504	1573	0.031268232	1.05530283	4.127406624	8.254813248	224.177589324	3	63	11	3.66666666666667	25	2	2.52	21	8.33333333333333	7.62870306045092	7.87594135556306	8.61765624089947	28.2524556015368	34.7973887217492	6.05107941989705	6.10153755300011	6.2529119523093	15.2278562710167	18.2195043772525	1.26071772176157	1.29008401284364	1.37818288608987	1.77696896426972	1.90989765699634
9	2816	15777	0	1075.19834030153	871.973457493982	12.105219815026	1075	872	12	212.467861877613	172.29030254656	4.64208792601039	15786	246.800155176	564.907513428	1076.19834030153	872.973457493982	13.105219815026	462.801659698467	666.026542506018	39.894780184974	212.764411877613	172.58685254656	5.24208792601039	91.4958881223869	131.67344745344	15.9579120739896	1	8	1	1	23.7583140610696	0	0	1	0	0	0	811.707668604	2107.365357	368.152163568	391.493898756	0.199684361554706	0.0623779986967717	0.428210095791626	84	14	25	0.166666666666667	0.297619047619048	9	0.00244498777506112	2675	367.47989658	1	1	2	2	9	0.000825763831544178	0.00121656121656122	0.00147731116275517	0.00175443456420769	0.00244498777506112	0	0	162	470	2675	0.281414088	1.1725587	2.743787358	6.855559866	367.47989658	6	79	22	3.66666666666667	35	0	2.25714285714286	13.1666666666667	5.83333333333333	3.25052748325842	8.2534559797596	12.3596402925707	15.3765206695107	29.4943585046831	3.25052748325842	7.34408259947927	9.0668880222304	12.6381263211383	20.2245622481136	1	1.06179384317719	1.30601235700828	1.3973933189487	1.45834348070669
10	539	21053	0	559.023731203008	956.700422932331	7.62998120300752	559	957	8	110.420141658835	189.040823613722	2.85199248120301	21280	332.69398848	511.266861432	560.023731203008	957.700422932331	8.62998120300752	978.976268796992	581.299577067669	44.3700187969925	110.716691658835	189.337373613722	3.45199248120301	193.543608341165	114.922926386278	17.748007518797	1	9	1	1	37.889256238602	0	0	1	0	0	0	843.960849912	2000.45615604	439.131050208	362.977271172	0.215892035476493	0.0529853793007426	0.356145977808599	67	10	25	0.149253731343284	0.373134328358209	13	0.00251889168765743	1617	394.417478448	1	1	2	2	13	0.00099601593625498	0.00144631777031838	0.00176056338028169	0.00216450216450216	0.00251889168765743	0	0	128	305	1617	0.250145856	1.102205178	2.626531488	5.561836767	394.417478448	4	55	16	4	24	0	2.29166666666667	13.75	6	4.50633241921108	7.20000155612934	9.93297372042125	25.0426084101284	40.112940072462	4.47830003370814	6.4760687387096	8.88393710102705	22.5392677116479	35.7844986649527	1.00625960415603	1.03538887046217	1.09273834808619	1.14889490686254	1.17683125432102
11	2820	4911	0	1132.29301023364	951.279204479629	8.47644332882796	1132	951	8	223.75547812319	187.969048725623	3.19057733153118	10358	161.938173528	231.166039176	1133.29301023364	952.279204479629	9.47644332882796	405.706989766364	586.720795520371	43.523556671172	224.05202812319	188.265598725623	3.79057733153118	80.2082718768102	115.994701274377	17.4094226684688	1	8	1	1	23.7583140610696	0	0	1	0	0	0	393.104212704	1092.5034459	182.653377228	179.135701128	0.237538006642198	0.0637781358459623	0.373467288980302	46	15	13	0.326086956521739	0.282608695652174	3	0.00492610837438424	528	79.624552788	1	1	2	3	5	0.00216919739696312	0.00277008310249307	0.00315457413249211	0.00383141762452107	0.00523560209424084	0	0	86	212.5	656	0.218877624	1.235095164	2.97048204	7.11352278	79.624552788	4	38	11	2.75	24	3	1.58333333333333	9.5	6	4.34755256063687	6.80312427086038	11.6390482443192	15.3973340531645	16.7752675987746	3.45408279262314	6.11208056016814	9.27590978514599	10.8651066262277	11.9484720098766	1.05571417211027	1.11451789490023	1.21599612326227	1.48681391576035	1.71495720268634
12	547	5645	0	867.75270979021	962.803583916084	4.64702797202797	868	963	5	171.455860725524	190.24741854021	1.65881118881119	11440	178.85428704	141.738895656	868.75270979021	963.803583916084	5.64702797202797	670.24729020979	575.196416083916	47.352972027972	171.752410725524	190.54396854021	2.25881118881119	132.507889274476	113.71633145979	18.9411888111888	1	10	0	0	Inf	0	0	1	0	0	0	320.593182696	738.76737654	219.221574552	81.469378476	0.30662856045256	0.167178804912963	0.56727073036793	24	3	7	0.125	0.291666666666667	5	0.0144927536231884	198	123.228102312	1	1	2	2	5	0.00584795321637427	0.00752560402874441	0.00900900900900901	0.0112359550561798	0.0144927536231884	0	0	32	76	198	0.140707044	1.711935702	3.525493158	7.434022158	123.228102312	4	16	4	1	4	0	4	4	1	3.79212667046658	4.14127730063456	4.62159654843847	9.14117002077572	13.529574875477	3.79212667046658	4.00210245441363	4.32568521855488	7.16680116957771	9.89431014040635	1	1.00575944652482	1.06994236254826	1.24788772633786	1.36740962062883
