soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	1553	18348	0	979.964937257888	33.9186835744794	10.57408204483	980	34	11	193.640218095885	6.60687374267457	4.02963281793199	30203	472.197205548	180.10501632	980.964937257888	34.9186835744794	11.57408204483	558.035062742112	1504.08131642552	41.42591795517	193.936768095885	6.90342374267457	4.62963281793199	110.323531904115	297.356876257325	16.570367182068	1	1	0	0	Inf	0	1	1	0	0	0	652.302221868	1226.70287808	481.186822248	128.559335868	0.296513163829095	0.0818550202986387	0.450515280739161	41	7	11	0.170731707317073	0.268292682926829	5	0.00390625	252	296.89186284	1	1	2	2	5	0.0021978021978022	0.00276626756102959	0.00338983050847458	0.00392570343625498	0.00458715596330275	0	0	76	204	461	0.265779972	1.196009874	2.81414088	6.339634038	296.89186284	3	32	8	2.66666666666667	13	0	2.46153846153846	10.6666666666667	4.33333333333333	2.88148410191231	3.55514173909071	5.5761146506259	20.1714812762511	25.0366034847928	1.51765666813142	2.18353980467348	4.18118921429968	15.5647380755318	19.3592543626092	1.29326279906467	1.3033519253439	1.33361930418159	1.75738504621934	1.89864029356526
2	15	7481	0	1469.98629761579	96.7856033616516	4.97268658079839	1470	97	5	290.517441038641	19.0356637845985	1.78907463231936	10947	171.146667852	379.471263552	1470.98629761579	97.7856033616516	5.97268658079839	68.0137023842149	1441.21439663835	47.0273134192016	290.813991038641	19.3322137845985	2.38907463231936	13.4463089613593	284.928086215401	18.8109253676806	1	2	0	0	Inf	0	1	1	0	0	0	550.617931404	1654.40468568	214.328096244	285.7134699	0.196370361693032	0.0668466083343493	0.392230576441103	90	23	20	0.255555555555556	0.222222222222222	8	0.00145348837209302	2282	156.716378784	1	2	2	3	8	0.000702740688685875	0.0009000900090009	0.00105764175531617	0.00124688279301746	0.00152671755725191	0	0.333333333333333	177	574	2282	0.203243508	1.125656352	2.298215052	4.361918364	156.716378784	5	81	17	3.4	41	6	1.97560975609756	16.2	8.2	8.65915199964259	10.025970636921	12.7781825276268	19.3113712022106	34.7842920488101	8.07554285913836	8.84829462407688	10.0720868801534	13.2006886986385	17.9631732664521	1.07226871935226	1.09330414957519	1.1510780422467	1.53803796287258	1.93642245347446
3	25	14513	0	1235.81771227877	201.219337511191	6.34047241925487	1236	201	6	244.222311717513	39.6822130259624	2.33618896770195	14521	227.022998436	940.485882096	1236.81771227877	202.219337511191	7.34047241925487	302.182287721231	1336.78066248881	45.6595275807451	244.518861717513	39.9787630259624	2.93618896770195	59.7414382824875	264.281536974038	18.2638110322981	1	3	3	4	33.2472058018213	0	0	1	0	0	0	1167.508880532	3165.88025844	239.874241788	844.71128748	0.16936737955904	0.0385046356215467	0.354247227841942	121	26	27	0.214876033057851	0.223140495867769	3	0.000997008973080758	4412	239.874241788	1	2	2	2	6	0.000417536534446764	0.00055371036476589	0.000634920634920635	0.000762922074519189	0.001001001001001	0	0	237	1221.625	4451	0.15634116	1.340625447	3.939797232	6.691401648	239.874241788	3	120	27	9	61	7	1.9672131147541	40	20.3333333333333	20.0611645954162	22.9539474299647	31.6322959336101	40.6017962260265	43.591629656832	4.98970518717916	8.08864602817152	17.3854685511486	18.1227260061464	18.3684784911457	1.1539041663672	1.29595229623655	1.72209668584462	6.98275942708891	8.73631367417034
4	34	15026	0	1329.27394472527	280.442657388564	5.54624827676754	1329	280	6	262.698608872185	55.3446633657192	2.01849931070702	15233	238.154489028	395.433695988	1330.27394472527	281.442657388564	6.54624827676754	208.726055274733	1257.55734261144	46.4537517232325	262.995158872185	55.6412133657192	2.61849931070702	41.2651411278146	248.619086634281	18.581500689293	1	3	2	3	33.2472058018213	0	0	1	0	0	0	633.588185016	1378.89024246	313.8548787	291.748238676	0.25871750009926	0.138830762997669	0.412752702620167	32	5	8	0.15625	0.25	7	0.0112359550561798	316.333333333333	306.241064208	1	1.5	2	2	7	0.00436681222707424	0.00630921105007563	0.00766294773928362	0.00840336134453781	0.0112359550561798	0	0	29.1666666666667	74.1666666666667	316.333333333333	0.297048204	1.047485772	3.775639014	9.052153164	306.241064208	3	24	5	1.66666666666667	10	1	2.4	8	3.33333333333333	8.28522953797956	8.87231734680118	10.633580773266	10.9114709301544	11.0041009824505	6.22637067605694	6.75361931439042	8.33536522939085	9.65183076313686	10.0906526077189	1.05380505965807	1.12039635075686	1.32017022405324	1.32804323357976	1.33066757008859
5	64	3476	0	299.210060017148	396.205773078022	3.15090025721635	299	396	3	59.0549788653901	78.231031337525	1.06036010288654	3499	54.703771884	5.11235593200001	300.210060017148	397.205773078022	4.15090025721635	1238.78993998285	1141.79422692198	48.8490997427837	59.3515288653901	78.527581337525	1.66036010288654	244.90877113461	225.732718662475	19.5396398971135	1	4	0	0	Inf	0	0	1	0	0	0	59.816127816	148.02463272	55.673087076	3.43950552	0.499684252301665	0.571660529866541	0.835071090047393	3	0	2	0	0.666666666666667	1	0.333333333333333	0	55.454209452	1	1	1	1.75	2	0.333333333333333	0.333333333333333	0.333333333333333	0.458333333333333	0.5	0	0	0	0.75	1	0.218877624	1.024034598	3.43950552	42.450533469	55.454209452	0	0	0	NaN	0	0	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	99	6917	0	172.067784516589	490.49946485908	4.45677250564871	172	490	4	33.9189509989297	96.87289420264	1.58270900225948	8409	131.467281444	346.749058764	173.067784516589	491.49946485908	5.45677250564871	1365.93221548341	1047.50053514092	47.5432274943513	34.2155009989297	97.16944420264	2.18270900225948	270.04479900107	207.09085579736	19.0172909977405	1	5	0	0	Inf	0	0	1	0	0	0	478.216340208	1559.76328374	195.457718232	243.563893164	0.189601472473102	0.0384165920433125	0.290777455065875	91	14	22	0.153846153846154	0.241758241758242	5	0.00146198830409357	1745	117.474747624	1	2	2	2	5	0.000557413600891862	0.000854153437415607	0.00108813928182807	0.00124380407007173	0.00156739811912226	0	22.25	176	561.75	2471	0.125072928	0.832516677	1.907362152	3.365243469	117.474747624	5	76	17	3.4	24	0	3.16666666666667	15.2	4.8	2.38659997029942	6.07090543915387	11.0254242185052	21.5537578905482	38.1356802124937	2.38659997029942	6.04392334264907	9.71897674197122	18.6215767952003	31.2786556654784	1	1.00371499116679	1.1127508592465	1.15562268613018	1.21922376141579
7	133	19819	0	1306.52228882285	616.879262579963	7.59190046844306	1307	617	8	258.200606500277	121.858180212059	2.83676018737722	19853	310.384104948	1018.031097456	1307.52228882285	617.879262579963	8.59190046844306	231.477711177152	921.120737420037	44.4080995315569	258.497156500277	122.154730212059	3.43676018737722	45.763143499723	182.105569787941	17.7632398126228	1	6	1	3	43.9845018373266	0	0	1	0	0	0	1328.415202404	3434.38635528	373.88988414	880.216364916	0.170160021775004	0.0379410776824403	0.304260915307733	103	20	24	0.194174757281553	0.233009708737864	9	0.00125944584382872	3265	369.215283456	1	2	2	2	9	0.000533902829684997	0.000737874942001692	0.000806451612903226	0.000986445286590356	0.00125944584382872	0	0	200	788.375	3265	0.140707044	1.28981457	3.423871404	8.219636487	369.215283456	4	97	19	4.75	47	6	2.06382978723404	24.25	11.75	14.0139933750204	21.2560235811976	30.7607769027731	41.697478389077	50.3714567599825	9.68537533249288	11.2128791938105	15.7008583546327	21.6258634721823	24.5903932902272	1.09996640716228	1.43479402766846	1.90902089192713	2.49540002223261	2.9423799087856
8	195	10031	0	300.705849644128	695.881450177936	7.47097419928826	301	696	7	59.3506964746441	137.476912700178	2.7883896797153	17984	281.163942144	619.26733476	301.705849644128	696.881450177936	8.47097419928826	1237.29415035587	842.118549822064	44.5290258007117	59.6472464746441	137.773462700178	3.3883896797153	244.613053525356	166.486837299822	17.8116103202847	1	7	2	5	23.2301529491812	0	0	1	0	0	0	900.431276904	1764.70685358	685.024426656	175.446049752	0.255531983931778	0.116371845442202	0.606342153100384	42	10	13	0.238095238095238	0.30952380952381	10	0.00826446280991736	643	391.994190468	1	1	2	2	10	0.00293255131964809	0.00440528634361234	0.00510217363009241	0.00625	0.00826446280991736	0	0	40	128	643	0.54719406	0.906778728	2.220044472	3.955431348	391.994190468	5	26	9	1.8	12	0	2.16666666666667	5.2	2.4	2.11166613832667	2.86577055100216	4.21891972448144	10.9707943717121	12.244067586419	2.11166613832667	2.86577055100216	4.11605739064541	8.07580931403807	8.67917085726276	1	1	1.02499050039239	1.30006766083308	1.55486367753282
9	3351	11348	0	1449.88708671241	770.423008941568	13.1663027656477	1450	770	13	286.543827043044	152.213778867748	5.0665211062591	19236	300.737855376	1336.763820348	1450.88708671241	771.423008941568	14.1663027656477	88.1129132875858	767.576991058432	38.8336972343523	286.840377043044	152.510328867748	5.6665211062591	17.4199229569557	151.749971132252	15.5334788937409	1	6	3	4	52.8613411467333	0	0	1	1	0	1	1637.501675724	5293.80866922	394.05789378	1121.325701868	0.126912301249105	0.0285397391017148	0.392717783630865	250	54	67	0.216	0.268	6	0.000473709142586452	11852	197.84973798	1	1	2	2	11	0.00014792899408284	0.000249563264287497	0.00030084238583217	0.000366300366300366	0.000499001996007984	0	0	494	1940	17829.5	0.140707044	1.313265744	2.517092676	4.37755248	197.84973798	15	242	66	4.4	111	3	2.18018018018018	16.1333333333333	7.4	2.36454380595616	5.6414813317729	17.0791803240904	21.4862266737612	48.5805522182241	2.36454380595616	4.87034757297	8.98151893674504	15.4563414863887	37.1953015319767	1	1.0494083831933	1.14150209817329	1.45993437484198	3.52559250549192
10	248	15358	0	285.080822247155	841.708166372816	6.47443500560987	285	842	6	56.2616285582625	166.306854491906	2.38977400224395	24956	390.164998896	359.209449216	286.080822247155	842.708166372816	7.47443500560987	1252.91917775284	696.291833627184	45.5255649943901	56.5581785582625	166.603404491906	2.98977400224395	247.702121441737	137.656895508094	18.2102259977561	1	7	1	2	23.2301529491812	0	0	1	0	0	0	749.374448112	1779.09802968	433.22135436	266.936896584	0.224259147134229	0.0567933726380585	0.400820867311119	81	18	16	0.222222222222222	0.197530864197531	9	0.00242130750605327	2220.66666666667	260.3080314	1	2	2	2	9	0.000786782061369001	0.00135736883492127	0.00157728706624606	0.00181488203266788	0.00242130750605327	0	15.5	106.5	395.25	2220.66666666667	0.140707044	1.340625447	2.876677344	4.647240981	260.3080314	5	56	12	2.4	26	0	2.15384615384615	11.2	5.2	3.00818746110038	3.39964580743814	4.31966632013861	18.7110185883783	33.0775323593081	2.48571837761448	2.50144965697564	2.95007764540808	14.9368974598211	25.8763284564209	1.19662339341436	1.19920233219484	1.23309674009768	1.39316831564985	1.73779393475948
