soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	48	79664	0	980.364319122693	203.122204989803	9.61507931661924	980	203	10	193.719175890556	40.0584099264841	3.6460317266477	81887	1280.230856892	1365.358618512	981.364319122693	204.122204989803	10.6150793166192	557.635680877307	1334.8777950102	42.3849206833808	194.015725890556	40.354959926484	4.2460317266477	110.244574109443	263.905340073516	16.9539682733523	1	1	3	11	34.7226669904557	0	0	1	0	0	0	2645.589475404	5354.2816197	1564.89684102	950.038326972001	0.172768495180471	0.0527469926897968	0.518702589589328	182	37	51	0.203296703296703	0.28021978021978	31	0.00128040973111396	13237.6	1487.27345508	1	1	2	2	31	0.000337952010814464	0.000618429189857761	0.000768937866509312	0.000919117647058824	0.00128040973111396	0	0	180	534	13237.6	0.125072928	1.532143368	3.064286736	6.378719328	1487.27345508	14	145	41	2.92857142857143	65	2	2.23076923076923	10.3571428571429	4.64285714285714	2.80464338040875	3.93398466102736	6.92712590041683	14.4488613845541	30.4702826367623	2.0227205225293	3.93398466102736	5.68986129452765	13.2258407188891	20.4555528497882	1	1.03246595948576	1.07352961278451	1.4895848995388	2.20071746313086
2	1475	9097	0	661.52025445598	204.70413490968	9.06163355938306	662	205	9	130.683704305947	40.3711574716438	3.42465342375323	16663	260.511274908	717.902972604	662.52025445598	205.70413490968	10.0616335593831	876.47974554402	1333.29586509032	42.9383664406169	130.980254305947	40.6677074716438	4.02465342375323	173.280045694053	263.592592528356	17.1753465762468	1	2	1	1	60.8016532461084	0	0	1	0	0	0	978.414247512	2733.14492976	311.243981328	583.762257324	0.174382664179127	0.030547489858945	0.261572583530085	115	29	35	0.252173913043478	0.304347826086957	7	0.00115473441108545	4221	165.158801424	1	1	2	2.75	7	0.000453514739229025	0.000668006258587773	0.00078125	0.000917431192660551	0.00115473441108545	0	0	151.5	653	4221	0.218877624	1.219461048	3.20499378	7.434022158	165.158801424	6	104	32	5.33333333333333	59	5	1.76271186440678	17.3333333333333	9.83333333333333	5.89516145894234	7.20893294889669	13.2928419464448	32.0817546616827	36.8850869594251	3.23180769979537	6.70144604549563	11.8555286382184	22.1149704387459	24.5935069832737	1.07572796974799	1.1164251324614	1.28861098055401	1.49978963896897	1.82410650835308
3	1538	16062	0	740.46354329478	616.728079087215	9.32267896217568	740	617	9	146.290792509378	121.828291235542	3.52907158487027	25592	400.108296672	1608.891243444	741.46354329478	617.728079087215	10.3226789621757	797.53645670522	921.271920912785	42.6773210378243	146.587342509378	122.124841235542	4.12907158487027	157.672957490622	182.135458764458	17.0709284151297	2	3	1	2	109.071498642901	0	0	1	0	0	1	2008.999540116	5590.28014278	448.417715112	1392.718321512	0.137732715723902	0.0472535104365955	0.309861450692747	231	38	58	0.164502164502165	0.251082251082251	7	0.000402576489533011	17542	281.070137448	1	1.25	2	2	7	0.000154535620460516	0.000211004487985938	0.000253164556962025	0.000301250372652831	0.000404040404040404	0	0	681	2359	17542	0.218877624	1.965990087	3.767821956	6.964998678	281.070137448	9	222	55	6.11111111111111	93	5	2.38709677419355	24.6666666666667	10.3333333333333	3.57073772892787	9.18432570872767	19.7485701872624	34.494921704823	59.259329472224	3.53491031770028	8.44935245015981	17.1216591292238	22.6219192972064	35.6376303810122	1.01013530981202	1.11434630686782	1.31356892886365	1.48089530256107	2.08515514726164
4	538	8421	0	909.497940082397	742.304227830887	9.13895444182233	909	742	9	179.70889275429	146.654695842166	3.45558177672893	25001	390.868534116	1264.456033848	910.497940082397	743.304227830887	10.1389544418223	628.502059917603	795.695772169113	42.8610455581777	180.00544275429	146.951245842166	4.05558177672893	124.25485724571	157.309054157834	17.1444182232711	1	4	3	6	34.0302217048233	0	0	1	0	0	1	1655.324567964	4827.20681652	403.610338656	1117.29209994	0.140187833982803	0.0259824767064159	0.354135562854583	211	51	44	0.241706161137441	0.208530805687204	5	0.000449438202247191	8252.16666666667	145.55361996	1	2	2	2	6	0.000178922884236894	0.000273748159499624	0.000338066260987153	0.000395061739953799	0.000493339911198816	0	209	621	2000	11364.6666666667	0.109438812	1.477423962	2.986116156	6.714852822	145.55361996	7	201	42	6	91	5	2.20879120879121	28.7142857142857	13	8.55746120089174	13.7887646112867	22.2668498521469	40.8068392566649	54.8412531134851	7.50401473491441	10.2317512300059	16.032206151008	25.6411994210586	33.870189877542	1.09539143661703	1.1467106451196	1.38888245587753	1.62237212478983	1.7490290721392
5	764	18303	0	1015.57904451683	928.369344914948	9.43127035830619	1016	928	9	200.681127100977	183.439769489685	3.57250814332248	27630	431.97062508	991.843953156	1016.57904451683	929.369344914948	10.4312703583062	522.42095548317	609.630655085052	42.5687296416938	200.977677100977	183.736319489685	4.17250814332248	103.282622899023	120.523980510315	17.0274918566775	1	5	1	1	66.7497442866304	0	0	1	0	0	0	1423.814578236	3333.95926284	606.947651352	714.995027028	0.183580321353704	0.0528195022325961	0.374327555289898	111	27	34	0.243243243243243	0.306306306306306	8	0.00158730158730159	4518.16666666667	449.55900558	1	1	2	2	8	0.000530785562632696	0.000803212851405623	0.000984251968503937	0.00114091130209178	0.00158730158730159	0	0	216	624	4518.16666666667	0.093804696	1.684575999	4.252479552	10.994692077	449.55900558	9	105	33	3.66666666666667	55	0	1.90909090909091	11.6666666666667	6.11111111111111	2.90028824576097	4.46497477955233	8.04515188167784	22.5322572825171	33.8705703742922	2.90028824576097	3.36245462455509	5.35886475324033	17.5808933909109	24.1247176304319	1	1.09595847115705	1.18848354803885	1.48164952096667	2.62099463883407
6	426	17643	0	79.9550597951413	1423.69592964016	9.698879176275	80	1424	10	15.7082653214994	281.365835289859	3.67955167051	18647	291.529361052	900.869032152	80.9550597951413	1424.69592964016	10.698879176275	1458.04494020486	114.304070359843	42.301120823725	16.0048153214994	281.662385289859	4.27955167051	288.255484678501	22.597914710141	16.92044832949	1	6	0	0	Inf	1	0	1	0	1	0	1192.398393204	3711.59591784	339.823145376	764.711515908	0.146511267040367	0.0533444737353523	0.442095441215676	187	51	49	0.272727272727273	0.262032085561497	15	0.000818330605564648	13724.5	290.497509396	1	1	2	3	15	0.000247954376394743	0.000387901989493113	0.000475737392959087	0.000582496328569627	0.000818330605564648	0	0	368	1080	13724.5	0.062536464	1.160833113	2.407653864	5.061545055	290.497509396	10	172	42	4.2	93	8	1.8494623655914	17.2	9.3	4.61481963966199	8.84884175983764	14.5523400103264	26.4240423900898	34.0861528605196	3.94460174242552	8.59482659432607	12.6982162776148	18.0323677427664	25.4167521061968	1.02856007188068	1.03912730832962	1.17971791217384	1.21643482500388	1.89027604953282
7	2212	6197	0	1228.40356766719	511.538507109005	10.5951816745656	1228	512	11	242.756535327804	101.03231285545	4.03807266982622	15192	237.513490272	1306.730683512	1229.40356766719	512.538507109005	11.5951816745656	309.596432332807	1026.461492891	41.4048183254344	243.053085327804	101.32886285545	4.63807266982622	61.2072146721959	202.93143714455	16.5619273301738	1	7	0	0	Inf	0	0	0	0	0	0	1544.244173784	4744.24948458	313.667269308	1102.12700742	0.13618436591707	0.0239694973934807	0.26598013527512	231	60	65	0.25974025974026	0.281385281385281	3	0.000409668168783286	1997	101.746826928	1	1	2	3	7	0.000168067226890756	0.000222333985588964	0.000284333238555587	0.000347826086956522	0.000455996352029184	0	0	457	1997	14992.8666666667	0.140707044	1.090479591	2.470190328	5.460215013	137.126831436	7	226	63	9	121	5	1.86776859504132	32.2857142857143	17.2857142857143	2.71064458135201	5.84348119151598	22.6098150511199	41.1703665541657	52.6193766527177	2.71064458135201	4.93978383729503	16.3718416996372	30.8858008166823	42.3188356657666	1	1.14310697756098	1.21030176090285	1.29770020878566	1.69872101794687
8	1537	7337	0	427.827451817842	606.203459505632	9.65394266189739	428	606	10	84.4826372243874	119.747573944264	3.66157706475896	18731	292.842626796	1475.798013936	428.827451817842	607.203459505632	10.6539426618974	1110.17254818216	931.796540494368	42.3460573381026	84.7791872243874	120.044123944264	4.26157706475896	219.481112775613	184.216176055736	16.938422935241	1	8	1	7	43.2351475281675	0	0	1	0	0	1	1768.640640732	5308.91694276	410.098496796	1221.946872444	0.133220561682611	0.0274119864335508	0.314271912079949	236	65	63	0.275423728813559	0.266949152542373	3	0.00042863266180883	17127	114.98892318	1	1	2	3	8	0.000173731758165393	0.000220458564506609	0.000256641525698797	0.000312646560711886	0.00042863266180883	0	0	466	2149.5	17127	0.15634116	1.000583424	2.759421474	5.51102589	155.981575332	6	224	56	9.33333333333333	122	9	1.83606557377049	37.3333333333333	20.3333333333333	9.77704039070358	18.9324493373635	28.0963007445329	33.1590602728849	47.5860355559639	7.02967115774623	13.609626367267	20.2262132085278	23.5993368227842	31.1238087200064	1.38576613804955	1.39082471588019	1.39145264689897	1.40508441071408	1.52892713048244
9	1927	12233	0	1048.43429266315	802.152898256992	9.81224158897446	1048	802	10	207.176609659505	158.486777985407	3.72489663558979	12335	192.84682086	116.020774836	1049.43429266315	803.152898256992	10.8122415889745	489.565707336846	735.847101743008	42.1877584110255	207.473159659505	158.783327985407	4.32489663558979	96.7871403404945	145.476972014593	16.8751033644102	1	9	1	1	18.8593011566563	0	0	0	0	0	0	308.867595696	476.500494	247.675665672	52.171045092	0.463734066500478	0.378560157758812	0.660590277777778	6	2	3	0.333333333333333	0.5	3	0.142857142857143	7	236.512906848	1	1	1.5	3	3	0.0909090909090909	0.0909090909090909	0.0909090909090909	0.142857142857143	0.142857142857143	0	0	0	7	7	0.437755248	0.62536464	5.581379412	51.107925204	236.512906848	0	0	0	NaN	0	0	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2046	29957	0	432.223350253807	1230.208586311	14.7653362529445	432	1230	15	85.3517063451777	243.113387513686	5.7061345011778	30141	471.227890356	1258.890288552	433.223350253807	1231.208586311	15.7653362529445	1105.77664974619	307.791413688995	37.2346637470555	85.6482563451777	243.409937513686	6.3061345011778	218.612043654822	60.8503624863143	14.8938654988222	1	10	2	3	65.3706664067747	0	0	0	0	0	1	1730.118178908	4680.0360501	698.438498184	935.217185004	0.14891968388717	0.0484274416024914	0.40837117662606	188	41	41	0.218085106382979	0.218085106382979	14	0.000448833034111311	12579.3333333333	684.805549032	1	2	2	2	14	0.0001822821728035	0.000253678923567351	0.000302571888517319	0.000367782322642081	0.000448833034111311	0	9.33333333333333	507.75	1770	12579.3333333333	0.203243508	1.25072928	2.798506764	6.464706966	684.805549032	9	180	37	4.11111111111111	82	6	2.19512195121951	20	9.11111111111111	2.38710222219735	5.59670565211729	8.21108331993674	29.086988019343	75.5247723563555	2.38710222219735	4.62868482760549	6.42836594911603	12.7968230235137	26.0086720905856	1	1.01398050468006	1.1643210068699	1.64580858103196	7.73597916830874
