soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	192	1272	0	325.577325939618	382.532655576094	2.77788046826864	326	383	3	64.2677873382625	75.5278560073937	0.911152187307455	3246	50.748340536	773.294645592	326.577325939618	383.532655576094	3.77788046826864	1212.42267406038	1155.46734442391	49.2221195317314	64.5643373382625	75.8244060073937	1.51115218730746	239.695962661737	228.435893992606	19.6888478126925	1	1	0	0	Inf	0	0	1	0	0	0	824.042986128	2694.87210768	85.878199188	655.210167444	0.157729360757423	0.0531660660230334	0.462667901806392	147	34	47	0.231292517006803	0.319727891156463	2	0.00050761421319797	429	23.92019748	1	1	2	2	7	0.000302571860816944	0.000432525951557093	0.000513874614594039	0.000614912694667296	0.000824402308326463	0	0	429	1202.5	7652	0.109438812	0.758254626	2.016800964	4.225119849	82.438693668	2	143	46	23	82	4	1.74390243902439	71.5	41	3.98804846201546	3.98804846201546	30.3613050394084	56.7345616168013	56.7345616168013	3.94176268854435	3.94176268854435	17.0675880130958	30.1934133376472	30.1934133376472	1.01174240489049	1.01174240489049	1.44539004687581	1.87903768886113	1.87903768886113
2	279	1198	0	361.493041160794	724.448030796565	3.15664791234824	361	724	3	71.3683242374889	143.124525688481	1.0626591649393	3377	52.796409732	819.54036072	362.493041160794	725.448030796565	4.15664791234824	1176.50695883921	813.551969203435	48.8433520876518	71.6648742374889	143.421075688481	1.6626591649393	232.595425762511	160.839224311519	19.5373408350607	1	2	1	1	78.8795047731843	0	0	1	0	0	0	872.336770452	3116.13518214	122.383860048	666.279121572	0.141685025997754	0.0248693720200988	0.239289299337482	177	46	44	0.259887005649718	0.248587570621469	4	0.000472813238770686	8125.5	21.856494168	1	1.75	2	3	6	0.000185116623472788	0.000272108903947999	0.00033921302578019	0.000387825933397179	0.000478011472275335	0	0	348	1853.25	9510	0.125072928	1.1725587	2.470190328	4.639423923	79.311870468	4	171	42	10.5	92	9	1.85869565217391	42.75	23	3.29137948212793	6.31754784923157	26.9605156242942	49.0891091551915	53.6009032781297	2.61553236872317	5.38808331443245	21.2022772301829	35.9158178991973	37.5877155981705	1.14497426529356	1.16546431046738	1.22217594467331	1.4118326324371	1.56526773116879
3	1605	2922	0	543.040258952053	1468.89702609751	5.96621484928181	543	1469	6	107.260209194821	290.302092059478	2.18648593971273	4943	77.279435388	427.921389036	544.040258952053	1469.89702609751	6.96621484928181	994.959741047947	69.1029739024884	46.0337851507182	107.556759194821	290.598642059478	2.78648593971273	196.703540805179	13.661657940522	18.4135140602873	1	3	0	0	Inf	0	0	1	0	1	0	505.200824424	1683.64293408	108.610203852	353.049607512	0.182197955587833	0.0379396921885922	0.267100544561031	82	19	21	0.231707317073171	0.25609756097561	6	0.00103305785123967	1182.5	69.665620896	1	1	2	2	6	0.000647249190938511	0.000800640512409928	0.000945662204989162	0.00110497237569061	0.0012970168612192	0	0	307	795	1787	0.23451174	1.391436324	3.251896128	6.206744052	69.665620896	2	76	18	9	37	2	2.05405405405405	38	18.5	14.4576087698937	14.4576087698937	29.6861742637709	44.9147397576481	44.9147397576481	12.7784336886848	12.7784336886848	23.8532206938954	34.928007699106	34.928007699106	1.131406956605	1.131406956605	1.20866514025263	1.28592332390026	1.28592332390026
4	3316	7287	0	801.524606116775	790.278962001854	13.1088507877664	802	790	13	158.362564629286	156.139300787766	5.04354031510658	21580	337.38422328	692.575704684	802.524606116775	791.278962001854	14.1088507877664	736.475393883225	747.721037998146	38.8911492122336	158.659114629286	156.435850787766	5.64354031510658	145.601185370714	147.824449212234	15.5564596848934	1	4	1	1	55.3254533589185	0	0	0	0	0	0	1029.959927964	2718.59658216	375.109345188	560.748838572	0.181420451480154	0.0381763475750951	0.345701134886336	142	28	31	0.197183098591549	0.21830985915493	3	0.000684462696783025	4239	114.254119728	1	2	2	2	6	0.00029385836027035	0.000400801603206413	0.000466418823654309	0.000547945205479452	0.000715819613457409	0	140	549.5	1430	6039.83333333333	0.23451174	1.031851656	2.118422718	4.408820712	122.821615296	5	125	29	5.8	50	1	2.5	25	10	8.61949471363196	11.944634611436	23.1079971499933	30.8983795578327	38.1309610321449	4.06670417570903	8.36577077680528	10.1609399193338	13.9230810536833	18.6166618167431	1.28462668621177	1.4688188845809	1.8697977855613	2.56249466735619	3.89139367685211
5	2698	14256	0	364.605282689369	1064.87439423707	11.660510805501	365	1065	12	71.9836143876883	210.426817740668	4.46420432220039	22905	358.09942698	1122.857845236	365.605282689369	1065.87439423707	12.660510805501	1173.39471731063	473.125605762934	40.339489194499	72.2801643876883	210.723367740668	5.06420432220039	231.980135612312	93.536932259332	16.1357956777996	1	5	2	7	21.5466684618154	0	0	1	0	0	0	1480.957272216	4223.42639034	376.485147396	979.836952068001	0.148769606499733	0.0179588277558532	0.269471593025525	190	41	47	0.215789473684211	0.247368421052632	3	0.000531914893617021	6146	225.866073852	1	2	2	2	7	0.000166500166500167	0.000297796307325789	0.000352112850680842	0.00041101520756268	0.00056369785794814	0	0	374	1620	12154	0.062536464	1.610313948	3.033018504	6.191109936	225.866073852	5	183	45	9	90	6	2.03333333333333	36.6	18	5.29174004368068	15.6564545180556	20.3472601456864	32.9261433759723	60.1390771340819	4.75212803724793	13.266104047994	16.7604844137946	25.3525450740166	41.1806519714498	1.11355165563789	1.13358512380266	1.1882127979501	1.31270568513206	1.46037214699213
6	4521	7004	0	1450.66155845933	730.257234726688	16.4826571799959	1451	730	16	286.696940107409	144.273005305466	6.39306287199836	14617	228.523873572	1052.754469092	1451.66155845933	731.257234726688	17.4826571799959	87.3384415406717	807.742765273312	35.5173428200041	286.993490107409	144.569555305466	6.99306287199836	17.2668098925908	159.690744694534	14.2069371280016	1	6	1	1	64.0994869102567	0	0	0	1	0	1	1281.278342664	4183.70296428	289.168609536	886.470011315999	0.136359564420631	0.024209078439661	0.332049914181008	197	46	53	0.233502538071066	0.269035532994924	5	0.000545553737043099	11027	116.70867594	1	1	2	2	9	0.000184842883548983	0.000293664199740805	0.000348796651552145	0.000410214660897636	0.000548546352166758	0	0	389	2035	11027	0.187609392	1.196009874	2.704702068	5.331233556	128.731311144	7	187	51	7.28571428571429	97	8	1.92783505154639	26.7142857142857	13.8571428571429	4.91834495453414	12.6076061772647	20.3671624386277	24.702645850643	62.4838390997142	4.42688604037059	8.28627461757827	14.7321065552955	17.712606249079	33.9427046884804	1.11101684337065	1.15540347735853	1.44017530114387	1.77261615857976	1.90092560852502
7	4105	10932	0	203.052183542114	1446.57235794865	16.433732438231	203	1447	16	40.0445666862759	285.888505166447	6.37349297529241	14449	225.897342084	847.885013028	204.052183542114	1447.57235794865	17.433732438231	1334.94781645789	91.4276420513531	35.566267561769	40.3411166862759	286.185055166447	6.97349297529241	263.919183313724	18.0752448335525	14.2265070247076	1	7	0	0	Inf	0	0	1	0	1	0	1073.782355112	3412.26151104	324.548614044	663.074127792	0.148611582592682	0.0226525129034274	0.326195938482454	178	38	41	0.213483146067416	0.230337078651685	9	0.000719424460431655	11780	193.70669724	1	2	2	2	9	0.000264270613107822	0.000360100828231905	0.000440917107583774	0.000530222693531283	0.000719424460431655	0	7.5	372.5	1190	11780	0.109438812	1.078754004	2.407653864	5.331233556	193.70669724	7	155	35	5	73	8	2.12328767123288	22.1428571428571	10.4285714285714	3.61752791175162	4.99991037844801	9.34237264324791	32.4010131695413	35.6269710888183	2.95742975356666	3.79579482509772	7.53805730860001	13.2736114994436	23.159962556503	1.05485922624416	1.26332012385744	1.3474157846049	2.27680016959233	3.02199219815365
8	2899	15120	0	789.475263852243	350.434234828496	17.6135224274406	789	350	18	155.980409663588	69.1819982255937	6.84540897097625	15160	237.01319856	523.070619012	790.475263852243	351.434234828496	18.6135224274406	748.524736147757	1187.5657651715	34.3864775725594	156.276959663588	69.4785482255937	7.44540897097625	147.983340336412	234.781751774406	13.7545910290238	1	8	0	0	Inf	0	0	0	0	0	0	760.083817572	2323.82815458	290.825825832	419.838551064	0.173322298430073	0.0279842835308067	0.173705878665023	111	22	22	0.198198198198198	0.198198198198198	6	0.000880281690140845	3657	277.802607204	1	2	2	2	6	0.000388802488335925	0.000491400847732933	0.000573394495412844	0.000705244739185383	0.000887311446317658	0	107.5	424	1404.75	3749	0.250145856	1.102205178	2.407653864	5.503208832	277.802607204	4	108	22	5.5	43	2	2.51162790697674	27	10.75	3.22034438290428	12.1899968885483	27.4382025749272	38.7475974839599	43.7784392122577	2.91065610982863	9.60320373985697	17.609593290088	26.5044350194569	34.0854348286231	1.1063980976763	1.11228489025783	1.20127273785169	1.67671285937627	2.06905192588854
9	5776	6818	0	659.42693930542	485.284712755599	20.471535215839	659	485	20	130.269855900682	95.8419377117819	7.9886140863356	15405	240.84355698	824.558911956	660.42693930542	486.284712755599	21.471535215839	878.57306069458	1052.7152872444	31.528464784161	130.566405900682	96.1384877117819	8.58861408633561	173.693894099318	208.121812288218	12.6113859136644	1	9	0	0	Inf	0	0	0	0	0	0	1065.402468936	3639.1137204	282.789890208	684.008209116	0.13862161783282	0.0212752683826516	0.248538255930505	203	40	58	0.197044334975369	0.285714285714286	5	0.00038109756097561	13214	144.77191416	1	1	2	2	10	0.000148411991688928	0.000200010038024421	0.000248447204968944	0.000301819325710306	0.00038109756097561	0	0	597	2569.75	13214	0.187609392	0.969315192	2.11060566	3.849901065	144.77191416	4	194	53	13.25	93	6	2.08602150537634	48.5	23.25	8.45206634656632	21.0986600947805	34.6489027835217	46.8192005730536	58.0858494220585	7.29022522104386	7.31349540498216	15.7271365323951	30.9712788857826	37.8250502956954	1.1520153184845	1.27560843425512	1.46742327581559	3.20619378879963	4.87674257599383
10	3018	22456	0	661.391010836738	1039.78872801563	22.0352638124001	661	1040	22	130.658152842423	205.467381528691	8.61410552496003	22516	352.017755856	1495.731511836	662.391010836738	1040.78872801563	23.0352638124001	876.608989163262	498.211271984367	29.9647361875999	130.954702842423	205.763931528691	9.21410552496003	173.305597157577	98.4963684713093	11.98589447504	1	10	1	1	52.377312461397	0	0	1	0	0	1	1847.749267692	6264.60380388	461.112617304	1240.973591616	0.116239180780889	0.0154722614133442	0.276654015653891	359	76	80	0.211699164345404	0.222841225626741	13	0.000301386377335744	52227.9333333333	458.142135264	1	2	2	2	13	9.33706816059757e-05	0.000138413313464209	0.000172562553925798	0.000209414563492563	0.000301386377335744	0	177	1065	3501	52227.9333333333	0.15634116	1.024034598	2.251312704	4.186034559	458.142135264	10	354	78	7.8	156	11	2.26923076923077	35.4	15.6	4.68146256240089	14.5759358244768	23.7726327551675	35.141234952103	43.3108864975514	4.2826754853457	11.3011047785808	17.629157906494	23.4280862098355	30.6027137428084	1.09311634244055	1.13462747236085	1.28683561753518	1.39819605413869	1.67032774022263
