soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	5	12687	0	601.136044880785	27.5823429541596	5.18963608178933	601	28	5	118.745746072931	5.35417920203735	1.87585443271573	13547	211.795369452	292.952065608	602.136044880785	28.5823429541596	6.18963608178933	936.863955119215	1510.41765704584	46.8103639182107	119.042296072931	5.65072920203735	2.47585443271573	185.218003927069	298.609570797963	18.7241455672843	1	1	0	0	Inf	0	1	1	0	0	0	504.74743506	1309.17102114	288.4494402	186.952759128	0.234173180648769	0.0653275693169285	0.393423892344801	51	9	11	0.176470588235294	0.215686274509804	7	0.0025706940874036	833.5	242.813455596	1	2	2	2	7	0.0011037527593819	0.00172361388641452	0.00204918032786885	0.00231617607749634	0.00257731958762887	0	1.5	141	498.25	833.5	0.297048204	1.75883805	3.064286736	4.936472127	242.813455596	4	40	8	2	15	1	2.66666666666667	10	3.75	6.49691252145865	7.60788890258147	9.47582718378699	24.2784937693452	38.3241984548206	5.56499167803293	5.62285499266943	7.45108183302551	14.9101222945544	20.5987992303637	1.10967301608153	1.12667550532946	1.35520632181865	1.71362054041472	1.86050643176952
2	102	14528	0	369.595978186776	208.779277436946	5.31445126107703	370	209	5	72.9702748875255	41.1768131492843	1.92578050443081	14670	229.35248172	495.52330662	370.595978186776	209.779277436946	6.31445126107703	1168.40402181322	1329.22072256305	46.685548738923	73.2668248875256	41.4733631492843	2.52578050443081	230.993475112474	262.786936850716	18.6742194955692	1	2	0	0	Inf	0	0	1	0	0	0	724.87578834	2210.9473065	249.004565532	414.335342232	0.17650138936616	0.0207766929051324	0.20533512128541	130	18	23	0.138461538461538	0.176923076923077	7	0.000674763832658569	4645	242.391334464	1	2	2	2	7	0.00027027027027027	0.000367376928728876	0.000442380199214929	0.000554938956714761	0.000694444444444444	0	128	439	1836	5435	0.187609392	1.203826932	2.251312704	4.236845436	242.391334464	4	123	21	5.25	38	1	3.23684210526316	30.75	9.5	2.7753604681215	3.7030815498866	18.4014266769661	37.87402362836	43.5759965344396	2.58817377267696	3.58110485001601	14.2407727552195	24.2724323118367	24.6373550405895	1.01241063804443	1.04236724474387	1.18907395035412	1.56425739883389	1.82269074840285
3	137	10976	0	589.213756573139	250.684143860592	6.2597397612559	589	251	6	116.38870967451	49.461405241239	2.30389590450236	26053	407.315624148	867.974852088	590.213756573139	251.684143860592	7.2597397612559	948.786243426861	1287.31585613941	45.7402602387441	116.68525967451	49.757955241239	2.90389590450236	187.57504032549	254.502344758761	18.2961040954976	1	3	0	0	Inf	0	0	1	0	0	0	1275.290476236	3331.0629183	467.350629588	710.711279244	0.170729027382809	0.0207289581339522	0.219305369022707	142	31	34	0.21830985915493	0.23943661971831	3	0.000811688311688312	5015	171.81893484	1	2	2	2	5	0.000333555703802535	0.000428449014567267	0.000530223289790924	0.000633713561470215	0.000816993464052288	0	1	309	1211	5966	0.140707044	1.360168092	3.236262012	7.770155652	171.81893484	5	126	31	6.2	58	4	2.17241379310345	25.2	11.6	9.88582184361286	18.3775436135115	24.7476244756698	30.3666586145568	41.123367589407	9.29173579306094	11.3321465375882	17.196374701666	24.6248879863692	34.1589035183741	1.06393703650028	1.16889748277304	1.24871708372427	1.520723000164	1.76553588839262
4	264	10589	0	1519.09359246484	524.258490315734	5.5108782170337	1519	524	6	300.2259532303	103.547053535421	2.00435128681348	15076	235.699932816	379.36182474	1520.09359246484	525.258490315734	6.5108782170337	18.9064075351553	1013.74150968427	46.4891217829663	300.5225032303	103.843603535421	2.60435128681348	3.7377967697002	200.416696464579	18.5956487131865	1	4	0	0	Inf	0	0	1	1	0	0	615.061757556	1729.96681188	268.390869372	302.957899848	0.202174092717885	0.0462900974950134	0.353175364543361	84	19	23	0.226190476190476	0.273809523809524	8	0.0017636684303351	2543	189.688729428	1	1	2	2	8	0.000705218617771509	0.00091496209980872	0.00113252607182755	0.00137552622865522	0.0017636684303351	0	0	201.5	666	2543	0.109438812	1.422704556	2.65779972	5.299965324	189.688729428	6	76	21	3.5	36	2	2.11111111111111	12.6666666666667	6	5.85318767321914	7.29151647565403	9.803559084467	21.8747711303558	35.2138085108684	4.02002822845513	5.81846481047645	6.56693604962357	14.5702162162718	22.9528171454184	1.00596770176906	1.09336173154534	1.42411204182009	1.53418241812193	2.71130221758545
5	814	12348	0	1234.22904819227	725.042256444315	8.57664688057781	1234	725	9	243.908232827612	143.242004099041	3.23065875223112	24091	376.641488556	966.438514656	1235.22904819227	726.042256444315	9.57664688057781	303.770951807729	812.957743555685	43.4233531194222	244.204782827612	143.538554099041	3.83065875223112	60.055517172388	160.721745900959	17.3693412477689	1	5	1	1	59.9106278378673	0	0	1	0	0	0	1343.080003212	3949.69927374	413.240954112	806.501507976	0.149046351604891	0.0214318913709981	0.237912030778829	209	36	46	0.172248803827751	0.220095693779904	7	0.00045766590389016	11979.5	206.573574708	1	2	2	2	7	0.000149142431021626	0.000230601164786738	0.000295683027794205	0.000353902419946964	0.00045766590389016	0	207	816	2169.5	11979.5	0.093804696	1.231186635	2.548360908	5.331233556	206.573574708	6	199	43	7.16666666666667	76	3	2.61842105263158	33.1666666666667	12.6666666666667	2.33576368266945	12.5929969466504	21.3424972054763	45.8217534674633	47.8606553258789	1.76868642526467	10.1748821018761	13.4613860315825	35.4309008465577	36.6388305051892	1.1799011746972	1.23765531831848	1.28562710042213	1.35081677807604	1.93816426283703
6	1593	14142	0	839.01922327575	885.038511494999	7.48486816469671	839	885	7	165.775250441616	174.873263722561	2.79394726587869	15398	240.734118168	1273.289309388	840.01922327575	886.038511494999	8.48486816469671	698.98077672425	652.961488505001	44.5151318353033	166.071800441616	175.169813722561	3.39394726587869	138.188499558384	129.090486277439	17.8060527341213	1	6	1	1	59.3289889211938	0	0	1	0	0	0	1514.023427556	4668.42560358	347.655837492	1033.118019396	0.136584708194077	0.018045679246064	0.238938053097345	242	55	48	0.227272727272727	0.198347107438017	9	0.000404858299595142	15441	243.767136672	1	2	2	2	9	0.000138178803371563	0.000211461196870374	0.000259706571031518	0.000310173697270471	0.000423728813559322	0	236	948	2440	17510.6666666667	0.140707044	1.25072928	2.947030866	5.565745296	243.767136672	7	235	46	6.57142857142857	111	13	2.11711711711712	33.5714285714286	15.8571428571429	7.58964626168031	9.06523801765482	14.1833409898084	31.237960221633	50.0866158972133	4.49010916233377	6.82453851930913	11.1758819186451	19.8972133494936	27.5203527456164	1.04359339660571	1.24526142171346	1.26910261696179	1.78013659885058	2.49613828610869
7	1921	14366	0	1272.18390069107	1045.92071922191	8.24744049142565	1272	1046	8	251.411907166624	206.679676190171	3.09897619657026	15628	244.329964848	1644.443223228	1273.18390069107	1046.92071922191	9.24744049142565	265.816099308933	492.079280778091	43.7525595085744	251.708457166624	206.976226190171	3.69897619657026	52.551842833376	97.2840738098285	17.5010238034297	1	6	1	1	112.313357453746	0	0	1	0	0	0	1888.773188076	5094.940539	605.66565384	1141.274833884	0.145032347767643	0.0198101772965494	0.293253980716686	203	37	49	0.182266009852217	0.241379310344828	19	0.000657894736842105	13110.8666666667	579.118924872	1	2	2	2	19	0.000203832042397065	0.000315835355086995	0.000407331975560081	0.000508203479815538	0.000657894736842105	0	2.125	597	1563.25	13110.8666666667	0.140707044	1.688484528	3.376969056	6.60541401	579.118924872	10	188	43	4.3	71	2	2.64788732394366	18.8	7.1	3.43513786026402	8.555524485466	15.7051028744343	26.7333361271242	47.7815430224607	1.89464764727785	8.34323409025393	11.6205168868235	21.8120875885291	33.2693055086762	1.02544461690941	1.07734436093666	1.23657895475209	1.4362050031372	1.81307477683225
8	463	13842	0	187.282743287156	1232.64785360014	9.98351291260475	187	1233	10	36.9269483478707	243.595630656747	3.7934051650419	29235	457.06338126	1046.766602664	188.282743287156	1233.64785360014	10.9835129126048	1350.71725671284	305.352146399863	42.0164870873952	37.2234983478707	243.892180656747	4.3934051650419	267.036801652129	60.3681193432529	16.8065948349581	1	7	1	1	50.9426580479721	1	0	1	0	0	0	1503.829983924	4500.0893124	511.501373172	858.250431936	0.141057273273547	0.025995362002639	0.274801858431265	235	41	40	0.174468085106383	0.170212765957447	5	0.000383288616328095	15625	236.403468036	1	2	2	2	7	0.000161446561188247	0.000233345468279387	0.000264480296217932	0.00030390520262809	0.000403225806451613	0	233	880.416666666667	1954.25	15625	0.15634116	1.141290468	2.57962914	4.744954206	236.403468036	8	224	39	4.875	87	8	2.57471264367816	28	10.875	4.83150425522402	10.5324395085956	16.4115695821167	23.1158431939181	47.3332995424585	4.81279198280191	7.46809051818671	13.6808580018927	16.6344226238383	30.9497770724105	1.00019229841634	1.05965866052802	1.2321105270099	1.58262862968598	1.66340237755851
9	1424	18782	0	1285.69466106779	1332.00119976005	7.97998295077827	1286	1332	8	254.082984493101	263.237787192561	2.99199318031131	31673	495.179356068	926.274470652	1286.69466106779	1333.00119976005	8.97998295077826	252.305338932214	205.998800239952	44.0200170492217	254.379534493101	263.534337192561	3.59199318031131	49.8807655068986	40.7259628074385	17.6080068196887	1	8	0	0	Inf	0	0	1	0	0	0	1421.45382672	3443.7058542	589.4061732	734.975427276	0.177533335874616	0.0406423449099728	0.317978246960972	133	33	36	0.24812030075188	0.270676691729323	8	0.00115740740740741	5785.5	312.182028288	1	1	2	2.25	8	0.000428265524625268	0.000587112910384602	0.000755287009063444	0.000894654574049132	0.00115740740740741	0	0	260	757.25	5785.5	0.093804696	1.074845475	3.158091432	7.547369499	312.182028288	8	113	29	3.625	55	4	2.05454545454545	14.125	6.875	2.39070417547603	7.15731460599985	11.8762401486675	17.9339196026645	46.4943111245643	2.39070417547603	5.34387038087911	10.2005308527349	14.6348997056672	27.8167649992597	1	1.09822919868774	1.21284367963551	1.41456273843134	1.671449254642
10	3155	15725	0	1456.53808080183	1211.12373940481	12.5032481593764	1457	1211	13	287.858728574522	239.340313280332	4.80129926375054	16163	252.694216908	1692.737007552	1457.53808080183	1212.12373940481	13.5032481593764	81.4619191981687	326.876260595187	39.4967518406236	288.155278574522	239.636863280332	5.40129926375054	16.105021425478	64.6234367196684	15.7987007362495	1	9	0	0	Inf	0	0	1	1	0	0	1945.43122446	6078.86184654	302.59831518	1466.042325552	0.123976424155266	0.0252673195481021	0.329244125695952	303	72	65	0.237623762376238	0.214521452145215	9	0.000266028198989093	25807.5333333333	295.422255936	1	2	2	2	9	9.62741888899586e-05	0.000155203009962593	0.000186811133943583	0.000215598557368528	0.000266028198989093	0	142.066666666667	897	3171.75	25807.5333333333	0.109438812	1.270271925	2.7359703	5.507117361	295.422255936	7	299	63	9	146	17	2.04794520547945	42.7142857142857	20.8571428571429	2.91158067832198	8.47124173300373	26.0282764024129	40.4837163119318	72.7934743244816	2.5066046775387	6.78888242005957	18.3599269962946	23.5431369332378	26.3296852953502	1.06279658860631	1.22558961525095	1.42939618411388	1.84015377080236	2.97949251133609
